,State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
,Uttar Pradesh,"Heritage IMS, Varanasi",BIOCHEMISTRY,UP Priv-Open Quota,"?5,00,000*","?21,000",0,?0,735,,,
,Uttar Pradesh,"IIMSR, Lucknow",BIOCHEMISTRY,UP Priv-Open Quota,"?6,00,000*",Info not available*,0,?0,540,,,
,Uttar Pradesh,"Era Lucknow Med Coll, Lucknow",BIOCHEMISTRY,UP Priv-Min. Quota,"?6,00,000*",?0*,0,?0,850,,,
,Uttar Pradesh,"Career Instt of MS, Lucknow",BIOCHEMISTRY,UP Priv-Min. Quota,"?1,00,000*",Info not available*,0,?0,600,,,
,Uttar Pradesh,"Teerthanker Med Coll,Moradabad",BIOCHEMISTRY,UP Priv-Min. Quota,"?10,000*",Info not available*,0,?0,1000,,,
,Uttar Pradesh,"Subharti Med Coll, Meerut",BIOCHEMISTRY,UP Priv-Min. Quota,?0*,"?30,000*",2*,Info not available*,938,,,
,Uttar Pradesh,"IIMSR, Lucknow",BIOCHEMISTRY,UP Priv-Min. Quota,"?6,00,000*",Info not available*,0,?0,540,,,
,Uttar Pradesh,"LLRM Med Coll, Meerut",DERMATOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",1090,,,
,Uttar Pradesh,"BRD Med Coll, Gorakhpur",DERMATOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",1050,,,
,Uttar Pradesh,"Shaik-ul-Hind, Saharanpur",DERMATOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",500,,,
,Uttar Pradesh,"S N Med Coll, Agra",DERMATOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",976,,,
,Uttar Pradesh,"MLN Med Coll, Allahabad",DERMATOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"KD Med Coll, Mathura",DERMATOLOGY,UP Priv-Open Quota,"?21,63,946*","?32,000",0,?0,720,,,
,Uttar Pradesh,"TS Misra Med Coll, Lucknow",DERMATOLOGY,UP Priv-Open Quota,"?21,63,946*","?30,000",0,?0,735,,,
,Uttar Pradesh,"Venkateshwara IMS, Gajraula",DERMATOLOGY,UP Priv-Open Quota,"?21,63,946*","?36,000",0,?0,750,,,
,Uttar Pradesh,"Rama Med Coll, Hapur",DERMATOLOGY,UP Priv-Open Quota,"?24,75,612*","?30,000*",Info Not Available,Info not available,1259,,,
,Uttar Pradesh,"Varun Arjun, Shahjahanpur",DERMATOLOGY,UP Priv-Open Quota,"?23,38,116*","?24,000*",1*,"?10,00,000*",770,,,
,Uttar Pradesh,"Krishna Mohan Med Coll,Mathura",DERMATOLOGY,UP Priv-Open Quota,"?21,63,946*","?15,000*",0,?0,700,,,
,Uttar Pradesh,"GS Med Coll Hosp,Hapur",DERMATOLOGY,UP Priv-Open Quota,"?21,63,946*","?32,000",0,?0,Info Not Available,,,
,Uttar Pradesh,"Prasad Inst of Med Sci,Lucknow",DERMATOLOGY,UP Priv-Open Quota,"?21,63,946*","?18,000",0,?0,410,,,
,Uttar Pradesh,"Rama Med Coll, Kanpur",DERMATOLOGY,UP Priv-Open Quota,"?25,62,430*","?30,000",0,?0,730,,,
,Uttar Pradesh,Muzaffarnagar Medical College,DERMATOLOGY,UP Priv-Open Quota,"?23,23,197*","?56,100*",1*,?0*,857,,,
,Uttar Pradesh,"SRMS IMS, Bareilly",DERMATOLOGY,UP Priv-Open Quota,"?25,09,957*","?32,000*",1*,?0*,950,,,
,Uttar Pradesh,"Saraswati IMS, Hapur",DERMATOLOGY,UP Priv-Open Quota,"?20,22,143*","?32,000*",0,?0,851,,,
,Uttar Pradesh,"Hind IMS, Barabanki",DERMATOLOGY,UP Priv-Open Quota,"?25,24,901*","?35,000",1*,?0*,580,,,
,Uttar Pradesh,"Rajshree MRI, Bareilly",DERMATOLOGY,UP Priv-Open Quota,"?24,89,880*","?32,000",1*,?0*,740,,,
,Uttar Pradesh,"SMSR, Greater Noida",DERMATOLOGY,UP Priv-Open Quota,"?25,40,649*","?32,000",0,?0,1200,,,
,Uttar Pradesh,"Subharti Med Coll, Meerut",DERMATOLOGY,UP Priv-Open Quota,"?14,43,744*","?30,000*",2*,?0*,938,,,
,Uttar Pradesh,"Era Lucknow Med Coll, Lucknow",DERMATOLOGY,UP Priv-Open Quota,"?39,90,000*","?62,000",0,?0,850,,,
