State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds
Andhra Pradesh,"GSL Med Coll, Rajahmundry",ANAESTHESIOLOGY,AP Govt-NS LOC (AU),"?4,96,800*","?30,000*",1*,"?40,00,000*",1140
Andhra Pradesh,"Maharajah IMS, Vizianagaram",ANAESTHESIOLOGY,AP Govt-NS LOC (AU),"?4,96,800*",Info not available*,1*,"?40,00,000*",850
Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",ANAESTHESIOLOGY,AP Govt-NS LOC (AU),"?4,96,800*","?28,000*",1*,"?40,00,000*",790
Andhra Pradesh,"NRI Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-NS LOC (AU),"?4,96,800*","?27,000*",1*,"?40,00,000*",1050
Andhra Pradesh,"Katuri Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-NS LOC (AU),"?4,96,800*",Info not available*,1*,"?40,00,000*",1100
Andhra Pradesh,"Rangaraya Med Coll, Kakinada",ANAESTHESIOLOGY,AP Govt-NS LOC (AU),"?48,600*","?60,823",1*,"?40,00,000*",1450
Andhra Pradesh,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS LOC (AU),"?48,600*","?60,823",1*,"?40,00,000*",707
Andhra Pradesh,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS LOC (AU),"?48,600*","?60,823",1*,"?40,00,000*",1030
Andhra Pradesh,"Guntur Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-NS LOC (AU),"?48,600*","?60,823",1*,"?40,00,000*",1170
Andhra Pradesh,"Rajiv Gandhi IMS, Ongole",ANAESTHESIOLOGY,AP Govt-NS LOC (AU),"?48,600*","?60,823",1*,"?40,00,000*",500
Andhra Pradesh,"Rajiv Gandhi IMS, Srikakulam",ANAESTHESIOLOGY,AP Govt-NS LOC (AU),"?48,600*","?60,823",1*,"?40,00,000*",532
Andhra Pradesh,"Homi Bhabha CancerHosp,Vizag",ANAESTHESIOLOGY,AP Govt-NS LOC (AU),"?1,05,500*","?1,00,800",1*,"?25,00,000*",100
Andhra Pradesh,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS LOC (OU),"?48,600*","?60,823",1*,"?40,00,000*",707
Andhra Pradesh,"Narayana Med Coll, Nellore",ANAESTHESIOLOGY,AP Govt-NS LOC (SVU),"?4,96,800*","?30,000*",1*,"?40,00,000*",1430
