State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",DERMATOLOGY,Other State,"?10,54,000*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"SSIMS, Bhilai",DERMATOLOGY,CG MBBS or Ins-NRI,Info not available*,"?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",DERMATOLOGY,CG MBBS or Ins-NRI,"?75,15,000*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"SSIMS, Bhilai",DERMATOLOGY,CG Domicile-NRI,Info not available*,"?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",DERMATOLOGY,CG Domicile-NRI,"?75,15,000*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"SSIMS, Bhilai",DERMATOLOGY,CG Other State-NRI,Info not available*,"?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",DERMATOLOGY,CG Other State-NRI,"?75,15,000*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",EMERGENCY MEDICINE,CG MBBS or Ins,"?10,54,000*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",EMERGENCY MEDICINE,CG Domicile,"?10,54,000*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",EMERGENCY MEDICINE,Other State,"?10,54,000*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"SSIMS, Bhilai",FORENSIC MEDICINE,CG MBBS or Ins,"?8,48,200*","?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",FORENSIC MEDICINE,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",FORENSIC MEDICINE,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",650,,,,
Chhattisgarh,"BaliramKashyap NDMC, Jagdalpur",FORENSIC MEDICINE,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",500,,,,
Chhattisgarh,"CIMS, Bilaspur",FORENSIC MEDICINE,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",550,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",FORENSIC MEDICINE,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",FORENSIC MEDICINE,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",650,,,,
Chhattisgarh,"BaliramKashyap NDMC, Jagdalpur",FORENSIC MEDICINE,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",500,,,,
Chhattisgarh,"CIMS, Bilaspur",FORENSIC MEDICINE,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",550,,,,
Chhattisgarh,"SSIMS, Bhilai",FORENSIC MEDICINE,CG Domicile,"?8,48,200*","?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",FORENSIC MEDICINE,Other State,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",FORENSIC MEDICINE,Other State,"?20,000*","?67,500",2*,"?50,00,000*",650,,,,
Chhattisgarh,"BaliramKashyap NDMC, Jagdalpur",FORENSIC MEDICINE,Other State,"?20,000*","?67,500",2*,"?50,00,000*",500,,,,
Chhattisgarh,"CIMS, Bilaspur",FORENSIC MEDICINE,Other State,"?20,000*","?67,500",2*,"?50,00,000*",550,,,,
Chhattisgarh,"SSIMS, Bhilai",FORENSIC MEDICINE,Other State,"?8,48,200*","?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"SSIMS, Bhilai",FORENSIC MEDICINE,CG MBBS or Ins-NRI,Info not available*,"?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"SSIMS, Bhilai",FORENSIC MEDICINE,CG Domicile-NRI,Info not available*,"?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"SSIMS, Bhilai",FORENSIC MEDICINE,CG Other State-NRI,Info not available*,"?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Raipur IMS, Raipur",GENERAL MEDICINE,CG MBBS or Ins,"?9,84,500*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",GENERAL MEDICINE,CG MBBS or Ins,"?10,54,000*","?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",GENERAL MEDICINE,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"CIMS, Bilaspur",GENERAL MEDICINE,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",550,,,,
Chhattisgarh,"Govt Med Coll, Ambikapur",GENERAL MEDICINE,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",785,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",GENERAL MEDICINE,CG MBBS or Ins,"?10,54,000*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",GENERAL MEDICINE,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"CIMS, Bilaspur",GENERAL MEDICINE,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",550,,,,
Chhattisgarh,"Govt Med Coll, Ambikapur",GENERAL MEDICINE,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",785,,,,
Chhattisgarh,"Raipur IMS, Raipur",GENERAL MEDICINE,CG Domicile,"?9,84,500*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",GENERAL MEDICINE,CG Domicile,"?10,54,000*","?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",GENERAL MEDICINE,CG Domicile,"?10,54,000*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",GENERAL MEDICINE,Other State,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"CIMS, Bilaspur",GENERAL MEDICINE,Other State,"?20,000*","?67,500",2*,"?50,00,000*",550,,,,
Chhattisgarh,"Govt Med Coll, Ambikapur",GENERAL MEDICINE,Other State,"?20,000*","?67,500",2*,"?50,00,000*",785,,,,
Chhattisgarh,"Raipur IMS, Raipur",GENERAL MEDICINE,Other State,"?9,84,500*","?67,000",1,"?25,00,000",650,,,,
