Round,Quota,Category,State,Institute,Course,Seats,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
1,AIQ,GEN,Telangana,"Govt Med Coll, Siddipet",ENT,1,"₹25,000*","₹58,289",1,"₹20,00,000",780,13409(1),16841(1),21212(1),-,-,11417(1),15617(1),19618(2),-,-
2,AIQ,GEN,Telangana,"Govt Med Coll, Siddipet",ENT,1,"₹25,000*","₹58,289",1,"₹20,00,000",780,13409(1),16841(1),21212(1),-,-,11417(1),15617(1),19618(2),-,-
3,AIQ,GEN,Telangana,"Govt Med Coll, Siddipet",ENT,0+1(VV),"₹25,000*","₹58,289",1,"₹20,00,000",780,13409(1),16841(1),21212(1),-,-,11417(1),15617(1),19618(2),-,-
1,AIQ,EWS,Maharashtra,"Indira Gandhi MedColl, Nagpur",ENT,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",822,-,-,-,-,-,16236(1),17594(1),19620(1),-,-
2,AIQ,EWS,Maharashtra,"Indira Gandhi MedColl, Nagpur",ENT,0+1(VV),"₹1,43,300*","₹92,522",1,"₹50,00,000",822,-,-,-,-,-,16236(1),17594(1),19620(1),-,-
3,AIQ,EWS,Maharashtra,"Indira Gandhi MedColl, Nagpur",ENT,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",822,-,-,-,-,-,16236(1),17594(1),19620(1),-,-
1,DNB Post MBBS,GEN,Haryana,"Asian IMS, Faridabad",DNBGENERAL SURGERY,2,"₹1,25,000","₹58,100",0,₹0,425,16534(2),16996(2),20843(2),-,-,16075(2),15600(2),19621(2),-,-
2,DNB Post MBBS,GEN,Haryana,"Asian IMS, Faridabad",DNBGENERAL SURGERY,2,"₹1,25,000","₹58,100",0,₹0,425,16534(2),16996(2),20843(2),-,-,16075(2),15600(2),19621(2),-,-
3,DNB Post MBBS,GEN,Haryana,"Asian IMS, Faridabad",DNBGENERAL SURGERY,0+2(VV),"₹1,25,000","₹58,100",0,₹0,425,16534(2),16996(2),20843(2),-,-,16075(2),15600(2),19621(2),-,-
1,DNB Post MBBS,GEN,Tamil Nadu,"Meenakshi Mission Hosp,Madurai",DNBNEUROSURGERY 6 YRS,2,"₹1,25,000","₹52,451",0,₹0,800,13330(2),13330(2),13330(2),26058(1),29075(1),13590(2),12757(2),19623(2),-,-
2,DNB Post MBBS,GEN,Tamil Nadu,"Meenakshi Mission Hosp,Madurai",DNBNEUROSURGERY 6 YRS,1+1(VV),"₹1,25,000","₹52,451",0,₹0,800,13330(2),13330(2),13330(2),26058(1),29075(1),13590(2),12757(2),19623(2),-,-
3,DNB Post MBBS,GEN,Tamil Nadu,"Meenakshi Mission Hosp,Madurai",DNBNEUROSURGERY 6 YRS,1+1(VV),"₹1,25,000","₹52,451",0,₹0,800,13330(2),13330(2),13330(2),26058(1),29075(1),13590(2),12757(2),19623(2),-,-
1,AIQ,OBC,Karnataka,"Dharward IMHANS, Dharwad",PSYCHIATRY,1,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",375,15189(1),17581(1),20218(1),29106(1),-,19235(1),19625(1),19625(1),-,-
2,AIQ,OBC,Karnataka,"Dharward IMHANS, Dharwad",PSYCHIATRY,1,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",375,15189(1),17581(1),20218(1),29106(1),-,19235(1),19625(1),19625(1),-,-
3,AIQ,OBC,Karnataka,"Dharward IMHANS, Dharwad",PSYCHIATRY,0+1(VV),"₹1,24,150*","₹56,250",3*,"₹50,00,000*",375,15189(1),17581(1),20218(1),29106(1),-,19235(1),19625(1),19625(1),-,-
1,DNB Post MBBS,GEN,Maharashtra,"DrHedgewarRugnalaya,Aurangabad",DNBENT,1,"₹1,25,000","₹71,000",0,₹0,267,-,-,-,-,-,21670(1),21670(1),19628(1),-,-
2,DNB Post MBBS,GEN,Maharashtra,"DrHedgewarRugnalaya,Aurangabad",DNBENT,0+1(VV),"₹1,25,000","₹71,000",0,₹0,267,-,-,-,-,-,21670(1),21670(1),19628(1),-,-
3,DNB Post MBBS,GEN,Maharashtra,"DrHedgewarRugnalaya,Aurangabad",DNBENT,0+1(VV),"₹1,25,000","₹71,000",0,₹0,267,-,-,-,-,-,21670(1),21670(1),19628(1),-,-
1,AIQ,ST,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL SURGERY,1,"₹41,000*","₹1,20,965*",0*,₹0*,1626,-,-,-,-,-,19387(1),19635(1),19635(1),-,-
2,AIQ,ST,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL SURGERY,0+1(VV),"₹41,000*","₹1,20,965*",0*,₹0*,1626,-,-,-,-,-,19387(1),19635(1),19635(1),-,-
3,AIQ,ST,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL SURGERY,0+1(VV),"₹41,000*","₹1,20,965*",0*,₹0*,1626,-,-,-,-,-,19387(1),19635(1),19635(1),-,-
1,AIQ,EWS,Jammu and Kashmir,"Govt Med Coll, Srinagar",OPHTHALMOLOGY,1,"₹35,750*","₹59,500",0*,₹0*,2150,19897(1),19897(1),19897(1),-,-,17975(1),19638(1),19638(1),-,-
2,AIQ,EWS,Jammu and Kashmir,"Govt Med Coll, Srinagar",OPHTHALMOLOGY,1,"₹35,750*","₹59,500",0*,₹0*,2150,19897(1),19897(1),19897(1),-,-,17975(1),19638(1),19638(1),-,-
3,AIQ,EWS,Jammu and Kashmir,"Govt Med Coll, Srinagar",OPHTHALMOLOGY,0+1(VV),"₹35,750*","₹59,500",0*,₹0*,2150,19897(1),19897(1),19897(1),-,-,17975(1),19638(1),19638(1),-,-
1,DNB Post MBBS,GEN,Delhi,"Aakash HC SS Hospital, Dwarka",DNBORTHOPAEDICS,1,"₹1,25,000","₹80,000",0,₹0,200,14552(1),16157(1),19397(1),-,-,4504(1),14766(1),19641(1),-,-
2,DNB Post MBBS,GEN,Delhi,"Aakash HC SS Hospital, Dwarka",DNBORTHOPAEDICS,1,"₹1,25,000","₹80,000",0,₹0,200,14552(1),16157(1),19397(1),-,-,4504(1),14766(1),19641(1),-,-
3,DNB Post MBBS,GEN,Delhi,"Aakash HC SS Hospital, Dwarka",DNBORTHOPAEDICS,0+1(VV),"₹1,25,000","₹80,000",0,₹0,200,14552(1),16157(1),19397(1),-,-,4504(1),14766(1),19641(1),-,-
1,DNB Post MBBS,GEN,West Bengal,"Calcutta Med Res Inst,Kolkata",DNBORTHOPAEDICS,2,"₹1,25,000","₹49,885",0,₹0,440,19460(2),21205(2),24961(2),-,-,18473(2),19009(2),19642(2),-,-
2,DNB Post MBBS,GEN,West Bengal,"Calcutta Med Res Inst,Kolkata",DNBORTHOPAEDICS,1+1(VV),"₹1,25,000","₹49,885",0,₹0,440,19460(2),21205(2),24961(2),-,-,18473(2),19009(2),19642(2),-,-
3,DNB Post MBBS,GEN,West Bengal,"Calcutta Med Res Inst,Kolkata",DNBORTHOPAEDICS,0+2(VV),"₹1,25,000","₹49,885",0,₹0,440,19460(2),21205(2),24961(2),-,-,18473(2),19009(2),19642(2),-,-
1,DNB Post MBBS,GEN,Odisha,"JaiprakashHosp,Rourkela,Odisha",DNBGENERAL SURGERY,2,"₹1,25,000","₹90,000*",0,₹0,307,17407(2),20276(2),23683(2),-,-,19057(2),19643(2),19643(2),-,-
2,DNB Post MBBS,GEN,Odisha,"JaiprakashHosp,Rourkela,Odisha",DNBGENERAL SURGERY,1+1(VV),"₹1,25,000","₹90,000*",0,₹0,307,17407(2),20276(2),23683(2),-,-,19057(2),19643(2),19643(2),-,-
3,DNB Post MBBS,GEN,Odisha,"JaiprakashHosp,Rourkela,Odisha",DNBGENERAL SURGERY,0+2(VV),"₹1,25,000","₹90,000*",0,₹0,307,17407(2),20276(2),23683(2),-,-,19057(2),19643(2),19643(2),-,-
1,AIQ,GEN,Manipur,"JNIMS, Imphal",PSYCHIATRY,1,"₹1,00,000","₹50,000",1*,"₹20,00,000*",643,-,-,-,-,-,15388(1),15388(1),19644(1),-,-
2,AIQ,GEN,Manipur,"JNIMS, Imphal",PSYCHIATRY,0+1(VV),"₹1,00,000","₹50,000",1*,"₹20,00,000*",643,-,-,-,-,-,15388(1),15388(1),19644(1),-,-
3,AIQ,GEN,Manipur,"JNIMS, Imphal",PSYCHIATRY,0+1(VV),"₹1,00,000","₹50,000",1*,"₹20,00,000*",643,-,-,-,-,-,15388(1),15388(1),19644(1),-,-
1,AIQ,OBC,Haryana,"ESIC Med Coll, Faridabad",ANAESTHESIOLOGY,1,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,15811(1),18484(1),19928(1),-,-,17117(1),17883(1),19649(1),-,-
2,AIQ,OBC,Haryana,"ESIC Med Coll, Faridabad",ANAESTHESIOLOGY,1,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,15811(1),18484(1),19928(1),-,-,17117(1),17883(1),19649(1),-,-
3,AIQ,OBC,Haryana,"ESIC Med Coll, Faridabad",ANAESTHESIOLOGY,1,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,15811(1),18484(1),19928(1),-,-,17117(1),17883(1),19649(1),-,-
1,NBE Diploma,OBC,Haryana,"BPS Med Coll, Sonepat",DGO(NBEMS),1,"₹1,25,000","₹1,00,980",0,₹0,550,18357(1),22748(1),22748(1),-,-,19493(1),18195(1),19651(1),-,-
2,NBE Diploma,OBC,Haryana,"BPS Med Coll, Sonepat",DGO(NBEMS),0+1(VV),"₹1,25,000","₹1,00,980",0,₹0,550,18357(1),22748(1),22748(1),-,-,19493(1),18195(1),19651(1),-,-
3,NBE Diploma,OBC,Haryana,"BPS Med Coll, Sonepat",DGO(NBEMS),1,"₹1,25,000","₹1,00,980",0,₹0,550,18357(1),22748(1),22748(1),-,-,19493(1),18195(1),19651(1),-,-
1,DNB Post MBBS,GEN,Maharashtra,"Kokilaben Dhirubhai Ambani,MUM",DNBENT,1,"₹1,25,000","₹89,000",0,₹0,550,19354(1),21993(1),26500(1),8505(1),-,12682(1),17223(1),19655(1),-,-
2,DNB Post MBBS,GEN,Maharashtra,"Kokilaben Dhirubhai Ambani,MUM",DNBENT,0+1(VV),"₹1,25,000","₹89,000",0,₹0,550,19354(1),21993(1),26500(1),8505(1),-,12682(1),17223(1),19655(1),-,-
3,DNB Post MBBS,GEN,Maharashtra,"Kokilaben Dhirubhai Ambani,MUM",DNBENT,0+1(VV),"₹1,25,000","₹89,000",0,₹0,550,19354(1),21993(1),26500(1),8505(1),-,12682(1),17223(1),19655(1),-,-
1,AIQ,EWS,Andhra Pradesh,"Govt Siddhartha, Vijaywada",ORTHOPAEDICS,1,"₹48,600*","₹60,823",0*,₹0*,707,-,-,-,-,-,15081(1),15081(1),19656(1),-,-
2,AIQ,EWS,Andhra Pradesh,"Govt Siddhartha, Vijaywada",ORTHOPAEDICS,0+1(VV),"₹48,600*","₹60,823",0*,₹0*,707,-,-,-,-,-,15081(1),15081(1),19656(1),-,-
3,AIQ,EWS,Andhra Pradesh,"Govt Siddhartha, Vijaywada",ORTHOPAEDICS,0+1(VV),"₹48,600*","₹60,823",0*,₹0*,707,-,-,-,-,-,15081(1),15081(1),19656(1),-,-
1,AIQ,EWS,Telangana,"Kakatiya Med Coll, Warangal",OPHTHALMOLOGY,1,"₹25,000*","₹58,289",1,"₹20,00,000",1150,-,-,-,-,-,18216(1),19657(1),19657(1),-,-
2,AIQ,EWS,Telangana,"Kakatiya Med Coll, Warangal",OPHTHALMOLOGY,1,"₹25,000*","₹58,289",1,"₹20,00,000",1150,-,-,-,-,-,18216(1),19657(1),19657(1),-,-
3,AIQ,EWS,Telangana,"Kakatiya Med Coll, Warangal",OPHTHALMOLOGY,0+1(VV),"₹25,000*","₹58,289",1,"₹20,00,000",1150,-,-,-,-,-,18216(1),19657(1),19657(1),-,-
1,MNG,GEN,Karnataka,"Shri BM Patil, Vijayapura",RADIO DIAGNOSIS,3,"₹35,00,000*","₹45,000*",0,₹0,1130,20253(3),22121(3),22121(3),-,-,19659(3),19659(3),19659(3),-,-
2,MNG,GEN,Karnataka,"Shri BM Patil, Vijayapura",RADIO DIAGNOSIS,0+3(VV),"₹35,00,000*","₹45,000*",0,₹0,1130,20253(3),22121(3),22121(3),-,-,19659(3),19659(3),19659(3),-,-
3,MNG,GEN,Karnataka,"Shri BM Patil, Vijayapura",RADIO DIAGNOSIS,1+2(VV),"₹35,00,000*","₹45,000*",0,₹0,1130,20253(3),22121(3),22121(3),-,-,19659(3),19659(3),19659(3),-,-
1,NBE Diploma,OBC,Karnataka,"K C Gen Hospital, Bangalore",DCH(NBEMS),1,"₹1,25,000","₹45,000*",1,"₹20,00,000",453,21196(1),14712(1),14712(1),-,-,19662(1),19662(1),19662(1),-,-
2,NBE Diploma,OBC,Karnataka,"K C Gen Hospital, Bangalore",DCH(NBEMS),0+1(VV),"₹1,25,000","₹45,000*",1,"₹20,00,000",453,21196(1),14712(1),14712(1),-,-,19662(1),19662(1),19662(1),-,-
3,NBE Diploma,OBC,Karnataka,"K C Gen Hospital, Bangalore",DCH(NBEMS),0+1(VV),"₹1,25,000","₹45,000*",1,"₹20,00,000",453,21196(1),14712(1),14712(1),-,-,19662(1),19662(1),19662(1),-,-
1,AIQ,SC,Madhya Pradesh,"MGM Med Coll, Indore",ORTHOPAEDICS,1,"₹1,01,500*","₹75,444",1,"₹10,00,000",1300,15976(1),18659(1),18659(1),-,-,19663(1),19663(1),19663(1),-,-
1,DNB Post MBBS,GEN,Tamil Nadu,"Dr Kamakshi Mem, Chennai",DNBRADIATION ONCOLOGY,1,"₹1,25,000","₹52,451",0,₹0,220,-,-,-,-,-,18047(1),19665(1),19665(1),-,-
2,DNB Post MBBS,GEN,Tamil Nadu,"Dr Kamakshi Mem, Chennai",DNBRADIATION ONCOLOGY,1,"₹1,25,000","₹52,451",0,₹0,220,-,-,-,-,-,18047(1),19665(1),19665(1),-,-
3,DNB Post MBBS,GEN,Tamil Nadu,"Dr Kamakshi Mem, Chennai",DNBRADIATION ONCOLOGY,0+1(VV),"₹1,25,000","₹52,451",0,₹0,220,-,-,-,-,-,18047(1),19665(1),19665(1),-,-
1,AIQ,OBC,Tamil Nadu,Govt Thoothukudi Med Coll,ANAESTHESIOLOGY,1,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1212,11807(1),14718(1),16487(1),-,-,14960(1),16700(1),19666(1),-,-
2,AIQ,OBC,Tamil Nadu,Govt Thoothukudi Med Coll,ANAESTHESIOLOGY,1,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1212,11807(1),14718(1),16487(1),-,-,14960(1),16700(1),19666(1),-,-
3,AIQ,OBC,Tamil Nadu,Govt Thoothukudi Med Coll,ANAESTHESIOLOGY,1,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1212,11807(1),14718(1),16487(1),-,-,14960(1),16700(1),19666(1),-,-
1,AIQ,EWS,Jharkhand,"Rajendra IMS, Ranchi",ANAESTHESIOLOGY,1,"₹1,500","₹1,00,770*",3*,"₹30,00,000*",1754,24313(2),23998(2),23998(2),-,-,16928(1),19671(1),19671(1),-,-
2,AIQ,EWS,Jharkhand,"Rajendra IMS, Ranchi",ANAESTHESIOLOGY,0+1(VV),"₹1,500","₹1,00,770*",3*,"₹30,00,000*",1754,24313(2),23998(2),23998(2),-,-,16928(1),19671(1),19671(1),-,-
3,AIQ,EWS,Jharkhand,"Rajendra IMS, Ranchi",ANAESTHESIOLOGY,0+1(VV),"₹1,500","₹1,00,770*",3*,"₹30,00,000*",1754,24313(2),23998(2),23998(2),-,-,16928(1),19671(1),19671(1),-,-
1,DNB Post MBBS,GEN,Delhi,"Max SS Hosp, Saket, Delhi",DNBRADIATION ONCOLOGY,1,"₹1,25,000","₹60,000",0,₹0,539,25160(2),25160(2),25160(2),-,-,17128(1),19674(1),19674(1),-,-
2,DNB Post MBBS,GEN,Delhi,"Max SS Hosp, Saket, Delhi",DNBRADIATION ONCOLOGY,1,"₹1,25,000","₹60,000",0,₹0,539,25160(2),25160(2),25160(2),-,-,17128(1),19674(1),19674(1),-,-
3,DNB Post MBBS,GEN,Delhi,"Max SS Hosp, Saket, Delhi",DNBRADIATION ONCOLOGY,0+1(VV),"₹1,25,000","₹60,000",0,₹0,539,25160(2),25160(2),25160(2),-,-,17128(1),19674(1),19674(1),-,-
1,DNB Post MBBS,GEN,Maharashtra,"Sainath Hospital,SantNagar,Pune",DNBORTHOPAEDICS,2,"₹1,25,000","₹85,000*",0,₹0,100,-,-,-,-,-,18109(2),19680(2),19680(2),-,-
2,DNB Post MBBS,GEN,Maharashtra,"Sainath Hospital,SantNagar,Pune",DNBORTHOPAEDICS,1+1(VV),"₹1,25,000","₹85,000*",0,₹0,100,-,-,-,-,-,18109(2),19680(2),19680(2),-,-
3,DNB Post MBBS,GEN,Maharashtra,"Sainath Hospital,SantNagar,Pune",DNBORTHOPAEDICS,0+1(VV),"₹1,25,000","₹85,000*",0,₹0,100,-,-,-,-,-,18109(2),19680(2),19680(2),-,-
1,AIQ,OBC,Tamil Nadu,"Madurai Med Coll, Madurai",OPHTHALMOLOGY,2,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,11576(2),14320(2),18456(2),-,-,12369(2),15232(2),19682(2),30677(1),-
2,AIQ,OBC,Tamil Nadu,"Madurai Med Coll, Madurai",OPHTHALMOLOGY,2,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,11576(2),14320(2),18456(2),-,-,12369(2),15232(2),19682(2),30677(1),-
3,AIQ,OBC,Tamil Nadu,"Madurai Med Coll, Madurai",OPHTHALMOLOGY,1+1(VV),"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,11576(2),14320(2),18456(2),-,-,12369(2),15232(2),19682(2),30677(1),-
4,AIQ,OBC,Tamil Nadu,"Madurai Med Coll, Madurai",OPHTHALMOLOGY,1,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,11576(2),14320(2),18456(2),-,-,12369(2),15232(2),19682(2),30677(1),-
1,DNB Post MBBS,GEN,Mizoram,"Civil Hospital, Aizawl",DNBGENERAL SURGERY,1,"₹1,25,000","₹50,000",0,₹0,300,-,-,-,-,-,20591(1),19688(1),19688(1),-,-
2,DNB Post MBBS,GEN,Mizoram,"Civil Hospital, Aizawl",DNBGENERAL SURGERY,1,"₹1,25,000","₹50,000",0,₹0,300,-,-,-,-,-,20591(1),19688(1),19688(1),-,-
3,DNB Post MBBS,GEN,Mizoram,"Civil Hospital, Aizawl",DNBGENERAL SURGERY,0+1(VV),"₹1,25,000","₹50,000",0,₹0,300,-,-,-,-,-,20591(1),19688(1),19688(1),-,-
1,DNB Post MBBS,GEN,Telangana,"Yashoda SS Hosp,Somajiguda,HYD",DNBNEUROSURGERY 6 YRS,2,"₹1,25,000","₹58,289",0,₹0,650,12294(1),14200(1),14200(1),-,-,13542(2),18256(2),19689(2),-,-
2,DNB Post MBBS,GEN,Telangana,"Yashoda SS Hosp,Somajiguda,HYD",DNBNEUROSURGERY 6 YRS,1+1(VV),"₹1,25,000","₹58,289",0,₹0,650,12294(1),14200(1),14200(1),-,-,13542(2),18256(2),19689(2),-,-
3,DNB Post MBBS,GEN,Telangana,"Yashoda SS Hosp,Somajiguda,HYD",DNBNEUROSURGERY 6 YRS,0+2(VV),"₹1,25,000","₹58,289",0,₹0,650,12294(1),14200(1),14200(1),-,-,13542(2),18256(2),19689(2),-,-
1,AIQ,ST,Telangana,"Gandhi Med Coll, Secunderabad",DERMATOLOGY,1,"₹25,000*","₹58,289",1,"₹20,00,000",1200,19760(1),19760(1),21005(1),-,-,19693(1),19693(1),19693(1),-,-
2,AIQ,ST,Telangana,"Gandhi Med Coll, Secunderabad",DERMATOLOGY,0+1(VV),"₹25,000*","₹58,289",1,"₹20,00,000",1200,19760(1),19760(1),21005(1),-,-,19693(1),19693(1),19693(1),-,-
3,AIQ,ST,Telangana,"Gandhi Med Coll, Secunderabad",DERMATOLOGY,0+1(VV),"₹25,000*","₹58,289",1,"₹20,00,000",1200,19760(1),19760(1),21005(1),-,-,19693(1),19693(1),19693(1),-,-
1,DNB Post MBBS,GEN,Kerala,"Dr Tony's SSEyeInst, Ernakulam",DNBOPHTHALMOLOGY,1,"₹1,25,000","₹57,876",0,₹0,25,18631(1),20153(1),20258(1),-,-,17014(1),19695(1),19695(1),-,-
2,DNB Post MBBS,GEN,Kerala,"Dr Tony's SSEyeInst, Ernakulam",DNBOPHTHALMOLOGY,0+1(VV),"₹1,25,000","₹57,876",0,₹0,25,18631(1),20153(1),20258(1),-,-,17014(1),19695(1),19695(1),-,-
3,DNB Post MBBS,GEN,Kerala,"Dr Tony's SSEyeInst, Ernakulam",DNBOPHTHALMOLOGY,0+1(VV),"₹1,25,000","₹57,876",0,₹0,25,18631(1),20153(1),20258(1),-,-,17014(1),19695(1),19695(1),-,-
1,NBE Diploma,OBC,Chandigarh,"Govt MultSpec Hosp, Chandigarh",DCH(NBEMS),1,"₹1,25,000","₹1,07,000*",0,₹0,500,23196(1),23150(1),27122(1),-,-,15135(1),19699(1),19699(1),-,-
2,NBE Diploma,OBC,Chandigarh,"Govt MultSpec Hosp, Chandigarh",DCH(NBEMS),1,"₹1,25,000","₹1,07,000*",0,₹0,500,23196(1),23150(1),27122(1),-,-,15135(1),19699(1),19699(1),-,-
3,NBE Diploma,OBC,Chandigarh,"Govt MultSpec Hosp, Chandigarh",DCH(NBEMS),0+1(VV),"₹1,25,000","₹1,07,000*",0,₹0,500,23196(1),23150(1),27122(1),-,-,15135(1),19699(1),19699(1),-,-
1,NBE Diploma,OBC,Delhi,"Lal Bahadur Shastri Hosp,Delhi",DGO(NBEMS),1,"₹1,25,000","₹1,26,927",0*,₹0*,Info Not Available,19454(1),19454(1),19454(1),-,-,19703(1),19703(1),19703(1),-,-
2,NBE Diploma,OBC,Delhi,"Lal Bahadur Shastri Hosp,Delhi",DGO(NBEMS),0+1(VV),"₹1,25,000","₹1,26,927",0*,₹0*,Info Not Available,19454(1),19454(1),19454(1),-,-,19703(1),19703(1),19703(1),-,-
3,NBE Diploma,OBC,Delhi,"Lal Bahadur Shastri Hosp,Delhi",DGO(NBEMS),0+1(VV),"₹1,25,000","₹1,26,927",0*,₹0*,Info Not Available,19454(1),19454(1),19454(1),-,-,19703(1),19703(1),19703(1),-,-
1,DNB Post MBBS,GEN,Kerala,"KIMS, Trivandrum",DNBGENERAL SURGERY,3,"₹1,25,000","₹57,876",0,₹0,2000,15501(3),17062(3),20462(3),20340(1),-,16911(3),16636(3),19704(3),-,-
2,DNB Post MBBS,GEN,Kerala,"KIMS, Trivandrum",DNBGENERAL SURGERY,2+1(VV),"₹1,25,000","₹57,876",0,₹0,2000,15501(3),17062(3),20462(3),20340(1),-,16911(3),16636(3),19704(3),-,-
3,DNB Post MBBS,GEN,Kerala,"KIMS, Trivandrum",DNBGENERAL SURGERY,2+1(VV),"₹1,25,000","₹57,876",0,₹0,2000,15501(3),17062(3),20462(3),20340(1),-,16911(3),16636(3),19704(3),-,-
1,DNB Post MBBS,GEN,Telangana,"Krishna IMS, Secunderabad",DNBEMERGENCY MEDICINE,2,"₹1,25,000","₹50,686*",0,₹0,675,15765(2),17193(2),17364(2),-,-,15530(2),17947(2),19706(2),-,-
2,DNB Post MBBS,GEN,Telangana,"Krishna IMS, Secunderabad",DNBEMERGENCY MEDICINE,1+1(VV),"₹1,25,000","₹50,686*",0,₹0,675,15765(2),17193(2),17364(2),-,-,15530(2),17947(2),19706(2),-,-
3,DNB Post MBBS,GEN,Telangana,"Krishna IMS, Secunderabad",DNBEMERGENCY MEDICINE,0+2(VV),"₹1,25,000","₹50,686*",0,₹0,675,15765(2),17193(2),17364(2),-,-,15530(2),17947(2),19706(2),-,-
1,AIQ,EWS,Assam,"Gauhati Med Coll, Guwahati",ANAESTHESIOLOGY,1,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,17135(1),28774(1),28774(1),-,-,19707(1),19707(1),19707(1),-,-
2,AIQ,EWS,Assam,"Gauhati Med Coll, Guwahati",ANAESTHESIOLOGY,0+1(VV),"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,17135(1),28774(1),28774(1),-,-,19707(1),19707(1),19707(1),-,-
3,AIQ,EWS,Assam,"Gauhati Med Coll, Guwahati",ANAESTHESIOLOGY,0+1(VV),"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,17135(1),28774(1),28774(1),-,-,19707(1),19707(1),19707(1),-,-
1,DNB Post MBBS,GEN,Uttar Pradesh,"Sankara Eye Hosp, Kanpur Nagar",DNBOPHTHALMOLOGY,2,"₹1,25,000","₹56,100",0,₹0,113,17397(2),21009(2),24983(2),32068(1),-,18315(2),18315(2),19708(2),-,-
2,DNB Post MBBS,GEN,Uttar Pradesh,"Sankara Eye Hosp, Kanpur Nagar",DNBOPHTHALMOLOGY,1+1(VV),"₹1,25,000","₹56,100",0,₹0,113,17397(2),21009(2),24983(2),32068(1),-,18315(2),18315(2),19708(2),-,-
3,DNB Post MBBS,GEN,Uttar Pradesh,"Sankara Eye Hosp, Kanpur Nagar",DNBOPHTHALMOLOGY,0+2(VV),"₹1,25,000","₹56,100",0,₹0,113,17397(2),21009(2),24983(2),32068(1),-,18315(2),18315(2),19708(2),-,-
1,DNB Post MBBS,GEN,Telangana,"Care Hospital, Banjara Hills",DNBGENERAL SURGERY,2,"₹1,25,000","₹58,289",0,₹0,444,14022(1),16592(1),16788(1),-,-,14999(2),15869(2),19711(2),-,-
2,DNB Post MBBS,GEN,Telangana,"Care Hospital, Banjara Hills",DNBGENERAL SURGERY,1+1(VV),"₹1,25,000","₹58,289",0,₹0,444,14022(1),16592(1),16788(1),-,-,14999(2),15869(2),19711(2),-,-
3,DNB Post MBBS,GEN,Telangana,"Care Hospital, Banjara Hills",DNBGENERAL SURGERY,1+1(VV),"₹1,25,000","₹58,289",0,₹0,444,14022(1),16592(1),16788(1),-,-,14999(2),15869(2),19711(2),-,-
1,NBE Diploma,GEN,Maharashtra,"Ruby Hall Clinic, Pune",DGO(NBEMS),2,"₹1,25,000","₹89,000",0,₹0,600,-,-,-,-,-,20299(2),20654(2),19716(2),-,-
2,NBE Diploma,GEN,Maharashtra,"Ruby Hall Clinic, Pune",DGO(NBEMS),1,"₹1,25,000","₹89,000",0,₹0,600,-,-,-,-,-,20299(2),20654(2),19716(2),-,-
3,NBE Diploma,GEN,Maharashtra,"Ruby Hall Clinic, Pune",DGO(NBEMS),1+1(VV),"₹1,25,000","₹89,000",0,₹0,600,-,-,-,-,-,20299(2),20654(2),19716(2),-,-
1,AIQ,SC,Rajasthan,"SP Med Coll, Bikaner",PAEDIATRICS,2,"₹12,812*","₹82,800*",2*,"₹25,00,000*",Info Not Available,15500(1),20087(1),20087(1),-,-,14534(2),18893(2),19720(2),27554(1),-
2,AIQ,SC,Rajasthan,"SP Med Coll, Bikaner",PAEDIATRICS,1+1(VV),"₹12,812*","₹82,800*",2*,"₹25,00,000*",Info Not Available,15500(1),20087(1),20087(1),-,-,14534(2),18893(2),19720(2),27554(1),-
3,AIQ,SC,Rajasthan,"SP Med Coll, Bikaner",PAEDIATRICS,0+2(VV),"₹12,812*","₹82,800*",2*,"₹25,00,000*",Info Not Available,15500(1),20087(1),20087(1),-,-,14534(2),18893(2),19720(2),27554(1),-
4,AIQ,SC,Rajasthan,"SP Med Coll, Bikaner",PAEDIATRICS,1,"₹12,812*","₹82,800*",2*,"₹25,00,000*",Info Not Available,15500(1),20087(1),20087(1),-,-,14534(2),18893(2),19720(2),27554(1),-
