Round,Quota,Category,State,Institute,Course,Seats,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
3,MNG,GEN,Uttar Pradesh,"Santosh Med Coll, Ghaziabad",PATHOLOGY,3+4(VV),"₹10,00,000*","₹56,010",0,₹0,800,117792(4),100237(1),120487(10),111799(1),-,108135(10),113360(10),108135(10),-,-
1,AIQ,ST,Punjab,"Guru Govind Singh, Faridkot",PATHOLOGY,1,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1000,-,-,-,-,-,69063(1),92426(1),108173(1),-,-
2,AIQ,ST,Punjab,"Guru Govind Singh, Faridkot",PATHOLOGY,0+1(VV),"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1000,-,-,-,-,-,69063(1),92426(1),108173(1),-,-
3,AIQ,ST,Punjab,"Guru Govind Singh, Faridkot",PATHOLOGY,0+1(VV),"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1000,-,-,-,-,-,69063(1),92426(1),108173(1),-,-
1,AIQ,EWS,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",MICROBIOLOGY,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",1462,-,-,-,-,-,86958(1),-,108275(1),-,-
2,AIQ,EWS,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",MICROBIOLOGY,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",1462,-,-,-,-,-,86958(1),-,108275(1),-,-
3,AIQ,EWS,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",MICROBIOLOGY,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",1462,-,-,-,-,-,86958(1),-,108275(1),-,-
1,AIQ,GEN,West Bengal,Midnapore Medical College,FORENSIC MEDICINE,1,"₹12,000*","₹49,884",3*,"₹30,00,000*",1051,60451(1),89748(1),81653(1),120533(1),-,53576(1),96314(1),108297(1),110471(1),141679(1)
2,AIQ,GEN,West Bengal,Midnapore Medical College,FORENSIC MEDICINE,1,"₹12,000*","₹49,884",3*,"₹30,00,000*",1051,60451(1),89748(1),81653(1),120533(1),-,53576(1),96314(1),108297(1),110471(1),141679(1)
3,AIQ,GEN,West Bengal,Midnapore Medical College,FORENSIC MEDICINE,1,"₹12,000*","₹49,884",3*,"₹30,00,000*",1051,60451(1),89748(1),81653(1),120533(1),-,53576(1),96314(1),108297(1),110471(1),141679(1)
4,AIQ,GEN,West Bengal,Midnapore Medical College,FORENSIC MEDICINE,1,"₹12,000*","₹49,884",3*,"₹30,00,000*",1051,60451(1),89748(1),81653(1),120533(1),-,53576(1),96314(1),108297(1),110471(1),141679(1)
5,AIQ,GEN,West Bengal,Midnapore Medical College,FORENSIC MEDICINE,1,"₹12,000*","₹49,884",3*,"₹30,00,000*",1051,60451(1),89748(1),81653(1),120533(1),-,53576(1),96314(1),108297(1),110471(1),141679(1)
1,MNG,GEN,Maharashtra,"MGM Med Coll, Aurangabad",PATHOLOGY,5,"₹20,00,000*","₹88,000",1,"₹25,00,000",700,115912(3),115912(1),122478(5),85109(1),-,98481(4),98481(3),108314(5),-,-
