Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Beds,Bond Years,Bond Penalty,Stipend Year 1
3,678563,Tamil Nadu,"Sree Balaji Med Coll, Chennai",MBBS,DEEMED PS,Open,3050000,1250,0,0,Info not available
3,678681,Pondicherry,"MGMC & RI, Pondicherry",MBBS,DEEMED PS,Open,2702000,1380,0,0,2500
3,678779,Karnataka,"Sri Siddhartha DentColl,Tumkur",BDS,DEEMED PS,Open,311000,Info Not Available,Info Not Available,Info not available,Info not available
3,678829,Tamil Nadu,"Shri Satya Sai, Kancheepuram",MBBS,DEEMED PS,Open,2402000,1120,0,0,2500
3,679038,Maharashtra,"School of DentSci, KIMS, Karad",BDS,DEEMED PS,Open,425000,283,0,0,Info not available
3,679226,Telangana,"Malla Reddy InstofDent Sci,HYD",BDS,DEEMED PS,Open,400000,Info Not Available,0,0,Info not available
3,679257,Telangana,"Malla Reddy InstofDent Sci,HYD",BDS,DEEMED PS,Open,400000,Info Not Available,0,0,Info not available
3,679310,Tamil Nadu,"Shri Satya Sai, Kancheepuram",MBBS,DEEMED PS,Open,2402000,1120,0,0,2500
3,679377,Maharashtra,"School of DentSci, KIMS, Karad",BDS,DEEMED PS,Open,425000,283,0,0,Info not available
3,679509,Tamil Nadu,"Chettinad Hosp&RI,Kanchipuram",MBBS,DEEMED PS,Open,2700000,1180,0,0,18500
3,679619,Haryana,"Manav Rachna Dental, Faridabad",BDS,DEEMED PS,Open,415000,Info Not Available,0,0,Info not available
3,679682,Pondicherry,"MGMC & RI, Pondicherry",MBBS,DEEMED PS,Open,2702000,1380,0,0,2500
3,679740,Haryana,"MM Coll Dental, Mullana,Ambala",BDS,DEEMED PS,Open,318300,350,0,0,3000
3,679900,Pondicherry,"IG Inst Dental Sci,Pondicherry",BDS,DEEMED PS,Open,342000,Info Not Available,0,0,Info not available
3,679914,Tamil Nadu,"SRM Med Coll, Kancheepuram",MBBS,DEEMED PS,Open,2800000,1590,0,0,13500
3,679991,Pondicherry,"MGMC & RI, Pondicherry",MBBS,DEEMED PS,Open,2702000,1380,0,0,2500
3,680005,Maharashtra,"School of DentSci, KIMS, Karad",BDS,DEEMED PS,Open,425000,283,0,0,Info not available
3,680023,Karnataka,"Yenepoya Dental Coll, Yenepoya",BDS,DEEMED PS,Open,526000,Info Not Available,Info Not Available,Info not available,5500
3,680093,Tamil Nadu,"Bhaarat Med Coll, Chennai",MBBS,DEEMED PS,Open,2750000,500,0,0,Info not available
3,680120,Pondicherry,"Aarupadai Veedu, Pondicherry",MBBS,DEEMED PS,Open,2388000,584,0,0,5000
3,680181,Tamil Nadu,"JR Med Coll & Hosp, Avanampattu",MBBS,DEEMED PS,Open,2600000,605,0,0,Info not available
3,680248,Maharashtra,"BV Dental Coll, Sangli",BDS,DEEMED PS,Open,414750,280,0,0,Info not available
3,680358,Maharashtra,"DYPatil Dent Coll, Navi Mumbai",BDS,DEEMED PS,Open,875000,428,0,0,Info not available
3,680433,Tamil Nadu,"Sree Balaji Med Coll, Chennai",MBBS,DEEMED PS,Open,3050000,1250,0,0,Info not available
3,680440,Tamil Nadu,"ACS Med Coll, Chennai",MBBS,DEEMED PS,Open,2500000,1050,0,0,25000
3,680511,Karnataka,"AB Shetty Mem IDS, Mangalore",BDS,DEEMED NRI,Open,807000,1000,Info Not Available,Info not available,Info not available
3,680558,Odisha,"Kalinga IMS, Bhubaneswar",MBBS,DEEMED NRI,Open,4300000,2600,0,0,30000
3,680566,Maharashtra,"School of DentSci, KIMS, Karad",BDS,DEEMED PS,Open,425000,283,0,0,Info not available
3,680643,Tamil Nadu,"ACS Med Coll, Chennai",MBBS,DEEMED PS,Open,2500000,1050,0,0,25000
3,680691,Pondicherry,"Aarupadai Veedu, Pondicherry",MBBS,DEEMED PS,Open,2388000,584,0,0,5000
3,680755,Gujarat,"AIIMS, Rajkot",MBBS,AIIMS SO,EWS-PwD,1350,750,0,0,30700
3,680831,Pondicherry,"SLIMS, Pondicherry",MBBS,DEEMED PS,Open,2600000,1230,0,0,Info not available
3,681083,Tamil Nadu,"Sree Balaji Med Coll, Chennai",MBBS,DEEMED PS,Open,3050000,1250,0,0,Info not available
3,681139,Haryana,"Manav Rachna Dental, Faridabad",BDS,DEEMED PS,Open,415000,Info Not Available,0,0,Info not available
