Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds
1,96,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL MEDICINE,AIQ,GEN,143300,92522,1,5000000,1462
1,97,Tamil Nadu,"Madras Med Coll, Chennai",GENERAL MEDICINE,AIQ,GEN,"50,000","52,451",2,"40,00,000",7285
1,98,Delhi,"Lady Hardinge, Delhi",PAEDIATRICS,AIQ,GEN,"57,600","1,26,927",0,0,877
1,99,Uttar Pradesh,"IMS(BHU), Varanasi",GENERAL MEDICINE,AIQ,GEN,"48,226","1,00,706",0,0,1165
1,100,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,IP,GEN,"41,000","1,20,965",0,0,1550
1,101,Delhi,"GB Pant IPGMER, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"57,600","1,26,927",0,0,714
1,102,Uttar Pradesh,"IMS(BHU), Varanasi",RADIO DIAGNOSIS,AIQ,GEN,"48,226","1,00,706",0,0,1165
1,103,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,DU,GEN,"57,600","1,26,927",0,0,2800
1,104,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,OBC,"41,000","1,20,965",0,0,1626
1,105,Rajasthan,"SMS, Jaipur",GENERAL MEDICINE,AIQ,GEN,"11,647","82,800",2,"25,00,000",5702
1,106,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL MEDICINE,AIQ,GEN,143300,92522,1,5000000,1462
1,107,Uttar Pradesh,"SGPGI, Lucknow",RADIO DIAGNOSIS,AIQ,GEN,"61,600",111780,2,"40,00,000",1609
1,108,Delhi,"VMMC, Delhi",DERMATOLOGY,AIQ,GEN,"41,000","1,20,965",0,0,1550
1,109,Delhi,"Sir Ganga Ram Hospital, Delhi",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,125000,92000,0,0,675
1,110,Tamil Nadu,"Madras Med Coll, Chennai",GENERAL MEDICINE,AIQ,GEN,"50,000","52,451",2,"40,00,000",7285
1,111,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,DU,GEN,"57,600","1,26,927",0,0,877
1,112,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,AIQ,GEN,"57,600","1,26,927",0,0,877
1,113,Karnataka,"Bangalore Med Coll, Bangalore",DERMATOLOGY,AIQ,GEN,124150,56250,3,"50,00,000",1993
1,114,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,AIQ,GEN,"72,000",111780,1,2000000,1498
1,115,Karnataka,"Bangalore Med Coll, Bangalore",RADIO DIAGNOSIS,AIQ,GEN,124150,56250,3,"50,00,000",1993
1,117,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,AIQ,GEN,"72,000",111780,1,2000000,1498
1,118,Gujarat,"BJMC, Ahmedabad",OBG,AIQ,GEN,"30,000",100800,1,"40,00,000",1557
1,119,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,AIQ,GEN,"34,500","1,07,000",0,0,967
1,120,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,AIQ,OBC,"50,000","52,451",2,"40,00,000",7285
1,121,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,AIQ,OBC,"57,600","1,26,927",0,0,2800
1,122,Delhi,"MAMC, Delhi",PAEDIATRICS,AIQ,GEN,"57,600","1,26,927",0,0,2800
1,123,Punjab,"Govt Med Coll, Patiala",RADIO DIAGNOSIS,AIQ,GEN,125000,"67,968",1,"10,00,000",1130
1,124,Gujarat,"BJMC, Ahmedabad",RADIO DIAGNOSIS,AIQ,GEN,"30,000",100800,1,"40,00,000",1557
1,125,Maharashtra,"Grant Med Coll, Mumbai",GENERAL SURGERY,AIQ,GEN,143300,92522,1,5000000,2844
1,126,Delhi,"MAMC, Delhi",GENERAL MEDICINE,DU,GEN,"57,600","1,26,927",0,0,2800
1,127,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,AIQ,GEN,143300,92522,1,5000000,2250
1,128,Kerala,"Medical College, Trivandrum",RADIO DIAGNOSIS,AIQ,GEN,"69,470",57876,1,"50,00,000",2126
1,129,Maharashtra,"Topiwala, Mumbai",GENERAL MEDICINE,AIQ,GEN,143300,92522,1,5000000,1300
1,130,Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,AIQ,GEN,143300,92522,1,5000000,2844
1,131,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,AIQ,GEN,"57,600","1,26,927",0,0,877
1,132,Delhi,"UCMS, Delhi",GENERAL MEDICINE,AIQ,GEN,"57,600","1,26,927",0,0,1000
1,133,Delhi,"VMMC, Delhi",OBG,AIQ,GEN,"41,000","1,20,965",0,0,1550
1,134,Delhi,"VMMC, Delhi",GENERAL MEDICINE,AIQ,EWS,"41,000","1,20,965",0,0,1550
1,135,Uttar Pradesh,"SGPGI, Lucknow",RADIO DIAGNOSIS,AIQ,GEN,"61,600",111780,2,"40,00,000",1609
1,136,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,IP,GEN,"41,000","1,20,965",0,0,1626
1,137,West Bengal,"IPGMER, Kolkata",RADIO DIAGNOSIS,AIQ,GEN,"12,000",49884,3,"30,00,000",2300
1,138,Maharashtra,"Tata Memorial, Mumbai",NUCLEAR MEDICINE,AIQ,GEN,105500,100800,1,"25,00,000",614
1,139,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,EWS,"41,000","1,20,965",0,0,1550
1,140,Delhi,"VMMC, Delhi",OBG,AIQ,GEN,"41,000","1,20,965",0,0,1550
1,141,Delhi,"VMMC, Delhi",ENT,AIQ,GEN,"41,000","1,20,965",0,0,1550
1,142,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,AIQ,GEN,"57,600","1,26,927",0,0,877
1,143,Uttar Pradesh,"Dr RML IMS, Lucknow",RADIO DIAGNOSIS,AIQ,GEN,"37,500",108672,2,"40,00,000",Info Not Available
1,144,West Bengal,"IPGMER, Kolkata",RADIO DIAGNOSIS,AIQ,GEN,"12,000",49884,3,"30,00,000",2300
1,145,Delhi,"UCMS, Delhi",GENERAL MEDICINE,AIQ,GEN,"57,600","1,26,927",0,0,1000
1,146,Uttar Pradesh,"KGMU, Lucknow",RADIO DIAGNOSIS,AIQ,GEN,"54,700",109955,2,"40,00,000",4500
