Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
WB Govt Quota,OBC A Open,West Bengal,"RG Kar Med Coll, Kolkata",PAEDIATRICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",1663,-,-,-,-,-,-,339(1),322(1),270(1),-,-
WB Govt Quota,SC Open,West Bengal,"Nilratan Sircar, Kolkata",RADIO DIAGNOSIS,"₹12,000*","₹49,884",3*,"₹30,00,000*",1920,-,-,-,-,-,-,276(1),276(1),276(1),-,-
WB Govt Quota,OBC A Open,West Bengal,"Nilratan Sircar, Kolkata",PAEDIATRICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",1920,378(1),424(1),385(1),385(1),-,-,353(1),336(1),282(1),-,-
WB Govt Quota,UR Open,West Bengal,"IPGMER, Kolkata",GENERAL SURGERY,"₹12,000*","₹49,884",3*,"₹30,00,000*",2300,28(2),28(2),41(2),41(2),-,-,66(3),80(3),284(3),-,-
WB Govt Quota,OBC B Open,West Bengal,Calcutta National Med Coll,GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",1470,200(1),187(1),152(1),152(1),-,-,64(1),58(1),286(1),-,-
WB Govt Quota,UR Open,West Bengal,Calcutta National Med Coll,PSYCHIATRY,"₹12,000*","₹49,884",3*,"₹30,00,000*",1470,-,-,-,-,-,-,188(1),298(1),287(1),-,-
WB Govt Quota,SC Open,West Bengal,"Medical College, Kolkata",GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",2668,202(2),189(2),153(2),153(2),-,-,43(2),291(2),291(2),-,-
WB Govt Quota,UR Open,West Bengal,"Nilratan Sircar, Kolkata",OBG,"₹12,000*","₹49,884",3*,"₹30,00,000*",1920,175(3),183(3),202(3),202(3),-,-,182(3),234(3),292(3),-,-
WB Govt Quota,UR Open,West Bengal,"RG Kar Med Coll, Kolkata",PAEDIATRICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",1663,125(2),92(2),129(2),129(2),-,-,125(1),119(1),300(1),-,-
WB Govt Quota,UR Open,West Bengal,"IPGMER, Kolkata",ORTHOPAEDICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",2300,88(2),102(2),149(2),149(2),-,-,82(1),102(1),302(1),-,-
WB Govt Quota,UR Open,West Bengal,"Nilratan Sircar, Kolkata",GENERAL SURGERY,"₹12,000*","₹49,884",3*,"₹30,00,000*",1920,70(1),61(1),47(1),47(1),-,-,153(2),226(2),308(3),-,-
WB Govt Quota,UR Open,West Bengal,"Nilratan Sircar, Kolkata",TBRD,"₹12,000*","₹49,884",3*,"₹30,00,000*",1920,102(1),147(1),175(1),175(1),-,-,81(1),95(1),317(1),-,-
WB Govt Quota,UR Open,West Bengal,"Nilratan Sircar, Kolkata",PAEDIATRICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",1920,131(1),154(1),130(1),130(1),-,-,124(2),139(2),322(2),29(1),-
WB Govt Quota,UR Service,West Bengal,"Nilratan Sircar, Kolkata",RADIO DIAGNOSIS,"₹12,000*","₹49,884",3*,"₹30,00,000*",1920,314(1),314(1),251(1),251(1),-,-,323(1),323(1),323(1),-,-
WB Govt Quota,UR Open,West Bengal,Calcutta National Med Coll,PAEDIATRICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",1470,135(1),123(1),164(1),164(1),-,-,122(1),120(1),325(1),-,-
WB Govt Quota,OBC A Open,West Bengal,"Inst of Child Health, Kolkata",PAEDIATRICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",Info Not Available,244(1),244(1),185(1),185(1),-,-,402(1),386(1),329(1),-,-
WB Govt Quota,EWS Open,West Bengal,"VIMS, Kolkata",GENERAL MEDICINE,"₹18,000*","₹49,884*",0,₹0,Info Not Available,49(1),199(1),195(1),195(1),-,-,259(1),314(1),349(1),-,-
WB Govt Quota,SC Open,West Bengal,"IPGMER, Kolkata",TBRD,"₹12,000*","₹49,884",3*,"₹30,00,000*",2300,-,-,-,-,-,-,435(1),435(1),351(1),-,-
WB Govt Quota,UR Open,West Bengal,"RG Kar Med Coll, Kolkata",OBG,"₹12,000*","₹49,884",3*,"₹30,00,000*",1663,92(3),110(3),95(3),95(3),-,-,223(3),268(3),358(4),-,-
