Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
RAJ Govt - Govt Quota,OBC,Rajasthan,"JLNMC, Ajmer",PAEDIATRICS,"₹10,982*","₹82,800*",2*,"₹25,00,000*",1428,233(4),292(3),292(1),-,-,-,270(3),306(3),306(3),-,-
RAJ Govt - Govt Quota,EWS,Rajasthan,"JLNMC, Ajmer",GENERAL MEDICINE,"₹10,982*","₹82,800*",2*,"₹25,00,000*",1428,264(2),267(2),267(2),-,-,-,333(2),308(1),308(1),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"Jhalawar Med Coll, Jhalawar",PAEDIATRICS,"₹88,265*","₹82,800*",2*,"₹25,00,000*",Info Not Available,262(1),302(1),312(3),-,-,-,285(2),311(1),311(1),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"Govt Med Coll, Kota",ORTHOPAEDICS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2581,-,-,-,-,-,-,388(2),324(1),324(1),-,-
RAJ Govt - Mgmt Quota,OBC,Rajasthan,"Govt Med Coll, Bharatpur",GENERAL MEDICINE,"₹8,68,200*","₹82,800*",2*,"₹25,00,000*",-,-,-,-,-,-,-,327(2),327(2),327(2),-,-
RAJ Govt - Govt Quota,EWS,Rajasthan,"SMS, Jaipur",PAEDIATRICS,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,-,-,-,-,-,-,-,333(1),333(1),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"SMS, Jaipur",OBG,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,277(9),280(8),4253(9),-,-,-,299(13),337(13),337(12),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"Govt Med Coll, Kota",OBG,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2581,414(1),-,291(1),-,-,-,409(3),410(2),339(1),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"SMS, Jaipur",TBRD,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,335(4),338(3),338(2),-,-,-,326(5),340(5),340(5),-,-
RAJ Govt - Mgmt Quota,GEN,Rajasthan,"Jhalawar Med Coll, Jhalawar",PAEDIATRICS,"₹8,68,200*","₹82,800*",2*,"₹25,00,000*",Info Not Available,-,-,-,-,-,-,-,346(1),346(1),-,-
RAJ Govt - Govt Quota,EWS,Rajasthan,"SP Med Coll, Bikaner",GENERAL MEDICINE,"₹12,812*","₹82,800*",2*,"₹25,00,000*",Info Not Available,248(1),250(1),250(1),-,-,-,352(1),352(1),352(1),-,-
RAJ Govt - Govt Quota,EWS,Rajasthan,"Govt Med Coll, Kota",GENERAL MEDICINE,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2581,-,-,-,-,-,-,363(2),363(3),363(3),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"SMS, Jaipur",OPHTHALMOLOGY,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,366(2),369(2),369(2),-,-,-,246(1),366(2),366(2),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"JLNMC, Ajmer",EMERGENCY MEDICINE,"₹10,982*","₹82,800*",2*,"₹25,00,000*",1428,-,467(1),636(1),-,-,-,435(2),373(1),373(1),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"SNMC, Jodhpur",OBG,"₹12,812*","₹82,800*",2*,"₹25,00,000*",3101,314(2),317(2),4966(3),-,-,-,356(2),376(3),376(3),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"SNMC, Jodhpur",GENERAL SURGERY,"₹12,812*","₹82,800*",2*,"₹25,00,000*",3101,385(1),534(2),541(2),-,-,-,457(1),-,377(1),-,-
RAJ Govt - Govt Quota,EWS,Rajasthan,"Jhalawar Med Coll, Jhalawar",GENERAL MEDICINE,"₹88,265*","₹82,800*",2*,"₹25,00,000*",Info Not Available,270(1),310(1),310(1),-,-,-,379(1),380(1),380(1),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"Govt Med Coll, Kota",TBRD,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2581,362(1),470(3),470(3),-,-,-,381(1),382(1),382(1),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"SNMC, Jodhpur",OBG,"₹12,812*","₹82,800*",2*,"₹25,00,000*",3101,302(5),305(4),372(5),-,-,-,316(3),383(3),383(3),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"RNT, Udaipur",OBG,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2206,298(3),301(3),301(3),-,-,-,334(1),385(2),385(2),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"SMS, Jaipur",GENERAL SURGERY,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,382(4),385(5),385(4),699(1),-,-,368(3),390(3),390(4),740(1),-
RAJ Govt - Govt Quota,GEN,Rajasthan,"SP Med Coll, Bikaner",OBG,"₹12,812*","₹82,800*",2*,"₹25,00,000*",Info Not Available,-,397(1),397(1),-,-,-,403(3),404(2),404(2),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"Govt Med Coll, Pali",OBG,"₹12,812*","₹82,800*",2*,"₹25,00,000*",-,-,-,-,-,-,-,406(1),407(1),407(1),-,-
Raj DNB Serv,GEN,Rajasthan,"Govt RDBP Jaipuria Hosp,Jaipur",DNBPAEDIATRICS,"₹1,25,000","₹70,656*",Info Not Available,Info not available,521,-,494(1),531(1),-,-,-,-,409(1),409(1),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"SMS, Jaipur",GENERAL SURGERY,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,355(7),388(7),388(7),-,-,-,376(13),416(13),416(12),-,-
RAJ Govt - Govt Quota,MBC,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,-,-,-,-,-,-,418(2),419(2),419(2),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"SP Med Coll, Bikaner",OBG,"₹12,812*","₹82,800*",2*,"₹25,00,000*",Info Not Available,392(5),406(6),406(7),-,-,-,382(4),424(5),424(5),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"JLNMC, Ajmer",OBG,"₹10,982*","₹82,800*",2*,"₹25,00,000*",1428,425(4),428(3),445(2),-,-,-,419(5),425(4),425(4),-,-
RAJ Govt - Govt Quota,EWS,Rajasthan,"RNT, Udaipur",PAEDIATRICS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2206,-,375(2),-,-,-,-,425(1),426(1),426(1),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"SNMC, Jodhpur",ORTHOPAEDICS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",3101,265(3),-,-,-,-,-,-,433(1),433(1),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"Govt Med Coll, Kota",ORTHOPAEDICS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2581,347(2),389(4),389(4),-,-,-,343(1),434(2),434(2),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"RNT, Udaipur",ORTHOPAEDICS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2206,-,436(2),-,-,-,-,-,439(1),439(1),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"Govt Med Coll, Kota",OBG,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2581,389(4),390(5),390(5),-,-,-,405(1),450(4),450(5),-,-
