Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
CG MBBS or Ins,ST,Chhattisgarh,"Pt JNM Med Coll, Raipur",OPHTHALMOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,-,348(1),-,-,-,490(2),535(1),598(1),-,-
CG MBBS or Ins,ST,Chhattisgarh,"CIMS, Bilaspur",ORTHOPAEDICS,"₹20,000*","₹67,500",2*,"₹50,00,000*",550,-,-,-,-,-,459(1),571(1),599(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"CIMS, Bilaspur",MICROBIOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",550,-,-,-,-,-,614(1),757(1),600(1),-,-
CG MBBS or Ins,ST,Chhattisgarh,"BaliramKashyap NDMC, Jagdalpur",ORTHOPAEDICS,"₹20,000*","₹67,500",2*,"₹50,00,000*",500,-,-,-,-,-,-,-,605(1),-,-
CG MBBS or Ins,ST,Chhattisgarh,"BaliramKashyap NDMC, Jagdalpur",TBRD,"₹20,000*","₹67,500",2*,"₹50,00,000*",500,-,-,-,-,-,519(1),579(1),622(1),-,-
CG MBBS or Ins,ST,Chhattisgarh,"Pt JNM Med Coll, Raipur",ANAESTHESIOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,400(1),382(1),-,-,-,-,433(1),659(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"Pt JNM Med Coll, Raipur",SPM,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,369(1),381(1),88(1),202(1),-,336(2),607(2),662(2),683(1),-
CG MBBS or Ins,SC,Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",PATHOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",650,-,-,-,-,-,512(1),649(1),663(1),-,-
CG MBBS or Ins,SC,Chhattisgarh,"SSIMS, Bhilai",ORTHOPAEDICS,"₹10,54,000*","₹67,000",1,"₹10,00,000",896,-,-,-,-,-,-,-,670(1),-,-
CG MBBS or Ins,ST,Chhattisgarh,"Govt Med Coll, Rajnandgaon",ANAESTHESIOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",650,430(1),-,-,-,-,571(1),597(1),672(1),-,-
CG MBBS or Ins,ST,Chhattisgarh,"Pt JNM Med Coll, Raipur",GENERAL SURGERY,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,368(2),340(1),-,-,-,-,487(1),675(2),768(2),708(1)
CG MBBS or Ins,ST,Chhattisgarh,"CIMS, Bilaspur",ANAESTHESIOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",550,403(1),406(1),138(1),178(1),-,509(1),514(1),681(1),-,-
CG MBBS or Ins,ST,Chhattisgarh,"CIMS, Bilaspur",GENERAL SURGERY,"₹20,000*","₹67,500",2*,"₹50,00,000*",550,-,-,-,-,-,463(1),583(1),689(1),-,-
CG MBBS or Ins,ST,Chhattisgarh,"Govt Med Coll, Ambikapur",ENT,"₹20,000*","₹67,500",2*,"₹50,00,000*",785,352(1),535(1),164(1),-,-,-,-,696(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"SSIMS, Bhilai",PATHOLOGY,"₹8,48,200*","₹67,000",1,"₹10,00,000",896,-,580(3),264(1),411(1),-,556(2),569(1),716(2),608(1),811(1)
CG MBBS or Ins,UR,Chhattisgarh,"Govt Med Coll, Rajnandgaon",SPM,"₹20,000*","₹67,500",2*,"₹50,00,000*",650,-,-,-,372(1),-,343(1),623(1),717(1),-,-
CG MBBS or Ins-NRI,UR,Chhattisgarh,"Shri Balaji Inst of MS, Raipur",OBG,"₹75,15,000*",Info not available,1,"₹25,00,000",-,-,-,-,-,-,-,-,727(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"BaliramKashyap NDMC, Jagdalpur",SPM,"₹20,000*","₹67,500",2*,"₹50,00,000*",500,406(1),504(1),195(1),-,-,527(2),674(2),732(1),-,-
CG MBBS or Ins,ST,Chhattisgarh,"Pt JNM Med Coll, Raipur",RADIATION ONCOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,-,459(1),-,-,-,538(1),634(1),748(1),-,-
CG MBBS or Ins,SC,Chhattisgarh,"Govt Med Coll, Ambikapur",SPM,"₹20,000*","₹67,500",2*,"₹50,00,000*",785,625(1),582(1),230(1),-,-,-,-,768(1),-,-
CG MBBS or Ins,ST,Chhattisgarh,"CIMS, Bilaspur",PATHOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",550,533(1),503(1),199(1),287(1),-,749(2),609(1),782(1),-,-
CG MBBS or Ins,SC,Chhattisgarh,"Shri Balaji Inst of MS, Raipur",GENERAL SURGERY,"₹10,54,000*",Info not available,1,"₹25,00,000",-,-,-,-,-,-,659(1),659(1),787(2),-,-
CG MBBS or Ins,UR,Chhattisgarh,"Raipur IMS, Raipur",PATHOLOGY,"₹7,92,600*","₹67,000",1,"₹25,00,000",650,-,679(3),-,-,-,569(2),640(2),788(3),-,-
CG MBBS or Ins,ST-Female,Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",PATHOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",650,-,-,-,-,-,758(1),758(1),803(1),-,-
CG MBBS or Ins,SC,Chhattisgarh,"Pt JNM Med Coll, Raipur",FORENSIC MEDICINE,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,627(1),568(1),249(1),-,-,641(1),-,815(2),-,-
CG MBBS or Ins,UR,Chhattisgarh,"CIMS, Bilaspur",BIOCHEMISTRY,"₹20,000*","₹67,500",2*,"₹50,00,000*",550,579(1),-,-,-,-,-,-,819(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"CIMS, Bilaspur",PHARMACOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",550,524(1),615(1),-,-,-,572(1),720(1),830(2),-,850(1)
CG MBBS or Ins,SC,Chhattisgarh,"Shri Balaji Inst of MS, Raipur",ORTHOPAEDICS,"₹10,54,000*",Info not available,1,"₹25,00,000",-,-,-,-,-,-,-,-,834(1),-,-
CG MBBS or Ins,ST,Chhattisgarh,"Shri Balaji Inst of MS, Raipur",DERMATOLOGY,"₹10,54,000*",Info not available,1,"₹25,00,000",-,-,-,-,-,-,392(1),-,848(1),-,-
CG MBBS or Ins,OBC,Chhattisgarh,"BaliramKashyap NDMC, Jagdalpur",SPM,"₹20,000*","₹67,500",2*,"₹50,00,000*",500,621(1),-,-,-,-,632(1),660(1),854(1),-,-
CG MBBS or Ins,SC,Chhattisgarh,"Raipur IMS, Raipur",GENERAL SURGERY,"₹9,84,500*","₹67,000",1,"₹25,00,000",650,-,-,-,-,-,752(1),-,855(1),-,-
CG MBBS or Ins-NRI,UR,Chhattisgarh,"SSIMS, Bhilai",GENERAL MEDICINE,Info not available*,"₹67,000",1,"₹10,00,000",896,-,-,-,-,-,460(1),460(1),857(1),874(2),898(1)
CG MBBS or Ins,ST,Chhattisgarh,"Pt JNM Med Coll, Raipur",SPM,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,521(1),-,-,-,-,808(2),-,864(1),-,-
CG MBBS or Ins,ST,Chhattisgarh,"Raipur IMS, Raipur",ANAESTHESIOLOGY,"₹9,84,500*","₹67,000",1,"₹25,00,000",650,-,-,-,-,-,-,-,865(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"CIMS, Bilaspur",FORENSIC MEDICINE,"₹20,000*","₹67,500",2*,"₹50,00,000*",550,-,-,-,-,-,757(1),-,867(1),-,-
CG MBBS or Ins,ST-Female,Chhattisgarh,"Shri Balaji Inst of MS, Raipur",ANAESTHESIOLOGY,"₹10,54,000*",Info not available,1,"₹25,00,000",-,-,-,-,-,-,-,-,878(1),-,-
CG MBBS or Ins,SC,Chhattisgarh,"Pt JNM Med Coll, Raipur",BIOCHEMISTRY,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,-,-,-,-,-,-,-,884(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",BIOCHEMISTRY,"₹20,000*","₹67,500",2*,"₹50,00,000*",650,-,-,-,-,-,728(1),-,885(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"Shri Balaji Inst of MS, Raipur",SPM,"₹8,48,200*",Info not available,1,"₹25,00,000",-,-,-,-,-,-,-,-,888(3),-,-
CG MBBS or Ins,ST,Chhattisgarh,"SSIMS, Bhilai",GENERAL SURGERY,"₹10,54,000*","₹67,000",1,"₹10,00,000",896,-,-,-,-,-,-,-,889(1),-,-
CG MBBS or Ins,SC,Chhattisgarh,"SSIMS, Bhilai",GENERAL SURGERY,"₹10,54,000*","₹67,000",1,"₹10,00,000",896,-,-,-,-,-,680(1),-,891(1),-,-
CG MBBS or Ins,SC,Chhattisgarh,"Govt Med Coll, Rajnandgaon",SPM,"₹20,000*","₹67,500",2*,"₹50,00,000*",650,442(1),579(1),209(1),362(1),-,-,-,892(1),-,-
CG MBBS or Ins,SC,Chhattisgarh,"Pt JNM Med Coll, Raipur",PHARMACOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,-,-,-,-,-,-,-,895(1),-,-
CG Domicile-NRI,UR,Chhattisgarh,"SSIMS, Bhilai",GENERAL MEDICINE,Info not available*,"₹67,000",1,"₹10,00,000",896,-,907(1),-,-,-,-,-,971(1),-,-
CG Domicile-NRI,UR-Female,Chhattisgarh,"Raipur IMS, Raipur",GENERAL MEDICINE,"₹79,33,000*","₹67,000",1,"₹25,00,000",650,-,-,-,-,-,-,-,998(1),-,-
CG Domicile,SC,Chhattisgarh,"Raipur IMS, Raipur",GENERAL SURGERY,"₹9,84,500*","₹67,000",1,"₹25,00,000",650,-,965(2),-,-,-,-,-,999(1),-,-
CG Domicile,ST,Chhattisgarh,"Pt JNM Med Coll, Raipur",SPM,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,-,-,-,-,-,-,-,1000(1),-,-
CG Domicile-NRI,UR,Chhattisgarh,"Raipur IMS, Raipur",OBG,"₹79,33,000*","₹67,000",1,"₹25,00,000",650,-,-,-,-,-,-,-,1004(1),-,-
CG Domicile,ST,Chhattisgarh,"Shri Balaji Inst of MS, Raipur",GENERAL SURGERY,"₹10,54,000*",Info not available,1,"₹25,00,000",-,-,-,-,-,-,-,-,1005(1),-,-
CG Domicile-NRI,UR,Chhattisgarh,"Shri Balaji Inst of MS, Raipur",GENERAL MEDICINE,"₹75,15,000*",Info not available,1,"₹25,00,000",-,-,-,-,-,-,-,-,1008(1),-,-
CG Domicile,OBC,Chhattisgarh,"Pt JNM Med Coll, Raipur",PHYSIOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,-,-,-,-,-,-,-,1011(1),-,-
CG Domicile-NRI,UR,Chhattisgarh,"Raipur IMS, Raipur",RADIO DIAGNOSIS,"₹79,33,000*","₹67,000",1,"₹25,00,000",650,-,-,-,-,-,-,-,1014(1),-,1056(1)
CG Domicile-NRI,UR,Chhattisgarh,"Raipur IMS, Raipur",GENERAL MEDICINE,"₹79,33,000*","₹67,000",1,"₹25,00,000",650,-,939(1),-,-,-,-,-,1015(1),-,-
CG Domicile,ST-Female,Chhattisgarh,"Shri Balaji Inst of MS, Raipur",ANAESTHESIOLOGY,"₹10,54,000*",Info not available,1,"₹25,00,000",-,-,-,-,-,-,-,-,1021(1),-,-
CG Domicile,UR,Chhattisgarh,"CIMS, Bilaspur",ANATOMY,"₹20,000*","₹67,500",2*,"₹50,00,000*",550,-,-,-,-,-,-,-,1022(1),-,-
CG Domicile,UR,Chhattisgarh,"SSIMS, Bhilai",SPM,"₹8,48,200*","₹67,000",1,"₹10,00,000",896,-,889(2),-,-,-,-,-,1024(2),-,1049(1)
CG Domicile,UR,Chhattisgarh,"Shri Balaji Inst of MS, Raipur",SPM,"₹8,48,200*",Info not available,1,"₹25,00,000",-,-,-,-,-,-,-,-,1025(1),-,1053(1)
CG Domicile,ST,Chhattisgarh,"Pt JNM Med Coll, Raipur",MICROBIOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,-,-,-,-,-,-,-,1027(1),-,-
CG Domicile,SC,Chhattisgarh,"Govt Med Coll, Ambikapur",MICROBIOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",785,-,-,-,-,-,-,-,1029(1),-,-
CG Other State-NRI,UR,Chhattisgarh,"Shri Balaji Inst of MS, Raipur",DERMATOLOGY,"₹75,15,000*",Info not available,1,"₹25,00,000",-,-,-,-,-,-,-,-,1053(1),1068(1),-
CG Other State-NRI,UR,Chhattisgarh,"Raipur IMS, Raipur",GENERAL MEDICINE,"₹79,33,000*","₹67,000",1,"₹25,00,000",650,-,1022(2),415(1),611(1),-,-,-,1074(1),-,-
CG Other State-NRI,UR,Chhattisgarh,"Raipur IMS, Raipur",PAEDIATRICS,"₹79,33,000*","₹67,000",1,"₹25,00,000",650,-,1011(1),417(1),-,-,-,-,1076(1),-,-
CG Other State-NRI,UR,Chhattisgarh,"Raipur IMS, Raipur",OBG,"₹79,33,000*","₹67,000",1,"₹25,00,000",650,-,1010(1),423(1),-,-,-,-,1077(1),-,-
CG Other State-NRI,UR,Chhattisgarh,"SSIMS, Bhilai",RADIO DIAGNOSIS,Info not available*,"₹67,000",1,"₹10,00,000",896,760(1),-,-,-,-,-,-,1078(1),-,1105(1)
CG Other State-NRI,UR,Chhattisgarh,"Raipur IMS, Raipur",RADIO DIAGNOSIS,"₹79,33,000*","₹67,000",1,"₹25,00,000",650,-,-,-,-,-,-,-,1082(2),-,-
CG Other State-NRI,UR,Chhattisgarh,"Shri Balaji Inst of MS, Raipur",RADIO DIAGNOSIS,"₹75,15,000*",Info not available,1,"₹25,00,000",-,-,-,-,-,-,-,-,1084(1),1080(1),-
CG MBBS or Ins,UR-Female,Chhattisgarh,"Pt JNM Med Coll, Raipur",DERMATOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,-,-,-,-,-,1(1),-,-,-,-
CG MBBS or Ins,UR-Female,Chhattisgarh,"Pt JNM Med Coll, Raipur",GENERAL MEDICINE,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,4(2),19(2),-,-,-,5(1),-,-,-,-
CG MBBS or Ins,UR-Female,Chhattisgarh,"Pt JNM Med Coll, Raipur",RADIO DIAGNOSIS,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,-,-,-,-,-,3(1),5(1),-,-,-
CG MBBS or Ins,OBC-Female,Chhattisgarh,"Pt JNM Med Coll, Raipur",GENERAL MEDICINE,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,6(1),-,-,-,-,10(1),-,-,-,-
CG MBBS or Ins,UR,Chhattisgarh,"Pt JNM Med Coll, Raipur",GENERAL MEDICINE,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,3(1),20(1),1(1),-,-,4(1),16(2),-,-,-
