Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 1.5,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 1.5,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
Odisha-Govt Quota-InS,ST,Odisha,"SCB, Cuttack",DERMATOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,81(1),-,-,84(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"Hi-Tech, Bhubaneswar",OBG,"₹7,15,000*","₹30,000*",0,₹0,767,94(1),94(1),-,94(1),-,84(2),-,-,87(2),-,-
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",ENT,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,78(1),-,-,89(1),-,-
Odisha-Govt Quota,UR-PH,Odisha,"SCB, Cuttack",ORTHOPAEDICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,-,-,-,91(1),-,-
Odisha-Govt Quota-InS,UR-PH,Odisha,"Hi-Tech Med Coll, Rourkela",OBG,"₹7,15,000*",Info not available*,0,₹0,420,-,-,-,-,-,-,-,-,91(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"VIMSAR, Burla",ENT,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,63(1),-,-,67(1),-,85(1),85(1),58(1),92(1),-,-
Odisha-Govt Quota-InS,ST,Odisha,"VIMSAR, Burla",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,46(1),-,-,46(1),-,90(1),-,-,93(1),-,-
Odisha-Govt Quota-InS,SC,Odisha,"VIMSAR, Burla",PAEDIATRICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,117(1),-,-,117(1),-,93(1),-,-,96(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",PATHOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,108(1),-,-,108(1),-,95(1),-,-,98(1),-,-
Odisha-Govt Quota-InS,UR-PH,Odisha,"VIMSAR, Burla",OPHTHALMOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,-,-,-,-,-,-,-,-,99(1),-,-
