Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 1.5,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 1.5,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
Odisha-Govt Quota,SC,Odisha,"SCB, Cuttack",BIOCHEMISTRY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,-,-,-,858(1),-,-,-,-,-,-,-
Odisha-Govt Quota,SC,Odisha,"MKCG, Berhampur",MICROBIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,-,-,-,860(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR-ExS,Odisha,"Hi-Tech, Bhubaneswar",GENERAL MEDICINE,"₹7,15,000*","₹30,000*",0,₹0,767,729(1),-,-,868(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR-PH,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",PAEDIATRICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,-,-,-,889(1),-,-,-,-,-,-,-
Odisha-Govt Quota,ST,Odisha,"Hi-Tech, Bhubaneswar",ORTHOPAEDICS,"₹7,15,000*","₹30,000*",0,₹0,767,-,-,-,891(1),-,-,-,-,-,-,-
Odisha-Govt Quota,ST,Odisha,"Hi-Tech, Bhubaneswar",ANAESTHESIOLOGY,"₹7,15,000*","₹30,000*",0,₹0,767,-,-,-,909(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR-PH,Odisha,"SCB, Cuttack",OBG,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,911(1),-,-,-,-,-,-,-
Odisha-Govt Quota,ST,Odisha,"Acharya Harihar Cancer,Cuttack",PATHOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",-,732(1),732(1),-,919(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",MICROBIOLOGY,"₹7,15,000*","₹16,000*",0,₹0,767,713(1),713(1),-,923(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR,Odisha,"VIMSAR, Burla",FORENSIC MEDICINE,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,626(1),626(1),594(1),935(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR-GC,Odisha,"VIMSAR, Burla",MICROBIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,593(1),-,-,940(1),-,-,-,-,-,-,-
Odisha-Govt Quota,ST,Odisha,"SCB, Cuttack",MICROBIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,667(1),667(1),-,969(1),-,-,-,-,-,-,-
Odisha-Mgmt Quota,UR,Odisha,"Hi-Tech Med Coll, Rourkela",MICROBIOLOGY,"₹10,00,000*",Info not available*,0,₹0,420,-,-,-,976(1),-,-,-,-,-,-,-
