Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 3.5,CR 2024 4,CR 2024 5
TN Govt Quota,BC Open,Tamil Nadu,Tirunelveli Med Coll,GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1737,204(2),218(2),282(2),-,-,150(2),208(2),290(2),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Rajah Muthiah, Annamalainagar",DERMATOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1400,-,-,-,-,-,240(1),291(1),291(1),-,-,-
TN Govt Quota,OC Serv,Tamil Nadu,"CMC, Vellore",RADIO DIAGNOSIS,"₹65,470*","₹51,000",2,"₹40,00,000",2879,-,-,-,-,-,292(1),292(1),292(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Madras Med Coll, Chennai",PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,238(3),314(3),314(3),-,-,189(2),225(2),296(2),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,Thanjavur Med Coll,GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1466,196(1),196(1),296(1),-,-,158(1),206(1),298(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"ESI PGIMSR, KK Nagar, Chennai",GENERAL MEDICINE,"₹2,50,000*","₹1,11,780*",2*,"₹10,00,000*",470,-,-,-,-,-,163(1),241(1),301(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"KAPV Med Coll, Trichy",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",2500,218(2),320(2),331(2),1072(1),-,170(2),259(2),305(2),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,Tirunelveli Med Coll,PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1737,79(1),79(1),79(1),-,-,306(1),306(1),306(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,Govt Theni Med Coll,GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",940,-,-,-,-,-,206(1),311(1),311(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Madras Med Coll, Chennai",TBRD,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,273(1),420(1),420(1),-,-,259(1),301(1),312(1),-,-,-
TN Govt Quota,MBC Serv,Tamil Nadu,"CMC, Vellore",RADIO DIAGNOSIS,"₹65,470*","₹51,000",2,"₹40,00,000",2879,669(2),669(2),669(2),-,-,313(1),313(1),313(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"Govt Erode Med Coll,Perundurai",DERMATOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",600,281(1),469(1),489(1),969(1),-,260(1),260(1),316(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,Govt Thoothukudi Med Coll,GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1212,266(2),337(2),337(2),-,-,209(2),290(2),317(2),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"Mohan Kumaramangalam, Salem",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1642,262(1),370(1),370(1),-,-,239(1),322(1),322(1),-,-,-
TN Govt Quota,BC Serv,Tamil Nadu,"Stanley Med Coll, Chennai",RADIO DIAGNOSIS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1661,134(1),134(1),134(1),-,-,110(1),110(1),327(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Madurai Med Coll, Madurai",PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,249(2),447(2),458(2),-,-,295(2),314(2),328(2),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,Coimbatore Med Coll,GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1182,258(1),316(1),316(1),-,-,227(1),239(1),329(1),-,-,-
