Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
JHKND Govt Quota,SC,Jharkhand,"Rajendra IMS, Ranchi",ANAESTHESIOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,123(1),193(1),-,-,233(1),-,-,-,-
JHKND Govt Quota,ST,Jharkhand,"Rajendra IMS, Ranchi",PAEDIATRICS,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,168(1),197(1),-,-,227(2),238(2),-,-,-
JHKND Govt Quota,SC,Jharkhand,"MGM Med Coll, Jamshedpur",OPHTHALMOLOGY,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,-,-,-,258(1),-,-,-
JHKND Govt Quota,ST,Jharkhand,"MGM Med Coll, Jamshedpur",PAEDIATRICS,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,-,-,-,272(1),-,-,-
JHKND Govt Quota,ST,Jharkhand,"Rajendra IMS, Ranchi",GENERAL SURGERY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,208(3),-,244(1),-,248(3),281(1),-,-,-
JHKND Govt Quota,ST,Jharkhand,"MGM Med Coll, Jamshedpur",OPHTHALMOLOGY,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,-,-,281(1),-,-,-,-
JHKND Govt Quota,UR-PH,Jharkhand,"Rajendra IMS, Ranchi",OBG,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,-,-,282(1),-,-,-,-
JHKND Govt Quota,ST,Jharkhand,"Shaheed Nirmal Mahto, Dhanbad",GENERAL MEDICINE,"₹1,500*","₹54,500",3*,"₹30,00,000*",560,-,-,-,-,-,284(1),-,-,-
JHKND Govt Quota,ST,Jharkhand,"MGM Med Coll, Jamshedpur",GENERAL SURGERY,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,213(1),-,264(1),-,-,289(1),-,-,-
JHKND Govt Quota,UR,Jharkhand,"Rajendra IMS, Ranchi",SPM,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,200(1),238(1),-,293(2),-,-,-,-
JHKND Govt Quota,ST,Jharkhand,"Rajendra IMS, Ranchi",ENT,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,-,-,265(1),294(1),-,-,-
JHKND Govt Quota,BC-II,Jharkhand,"Rajendra IMS, Ranchi",PATHOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,234(1),-,252(1),-,-,303(1),-,-,-
JHKND Govt Quota,ST,Jharkhand,"Rajendra IMS, Ranchi",ANAESTHESIOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,219(2),-,265(1),-,274(4),307(1),-,-,-
JHKND Govt Quota,SC,Jharkhand,"Rajendra IMS, Ranchi",SPM,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,-,-,318(1),-,-,-,-
JHKND Govt Quota,ST,Jharkhand,"MGM Med Coll, Jamshedpur",DGO,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,-,-,-,332(1),-,-,-
JHKND Govt Quota,EWS,Jharkhand,"Rajendra IMS, Ranchi",PATHOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,224(1),-,-,-,335(2),-,-,-,-
JHKND Govt Quota,SC,Jharkhand,"MGM Med Coll, Jamshedpur",PATHOLOGY,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,-,-,341(1),-,-,-,-
JHKND Govt Quota,ST,Jharkhand,"MGM Med Coll, Jamshedpur",PATHOLOGY,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,264(1),-,-,-,-,354(1),-,-,-
JHKND Govt Quota,SC,Jharkhand,"Rajendra IMS, Ranchi",PHYSIOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,-,-,-,361(1),-,-,-
JHKND Govt Quota,BC-I,Jharkhand,"Rajendra IMS, Ranchi",RADIO DIAGNOSIS,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,14(1),-,-,-,-,-,-,-,-
JHKND Govt Quota,BC-I,Jharkhand,"MGM Med Coll, Jamshedpur",GENERAL MEDICINE,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,23(1),-,-,-,-,-,-,-,-
JHKND Govt Quota,BC-I,Jharkhand,"Rajendra IMS, Ranchi",PAEDIATRICS,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,28(2),7(1),-,-,-,-,-,-,-
JHKND Govt Quota,EWS,Jharkhand,"Rajendra IMS, Ranchi",DERMATOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,29(1),-,-,-,-,-,-,-,-
JHKND Govt Quota,BC-II,Jharkhand,"Rajendra IMS, Ranchi",OBG,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,55(1),-,-,-,-,-,-,-
JHKND Govt Quota,BC-I,Jharkhand,"Rajendra IMS, Ranchi",ORTHOPAEDICS,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,58(1),-,-,-,-,-,-,-,-
JHKND Govt Quota,EWS,Jharkhand,"MGM Med Coll, Jamshedpur",ORTHOPAEDICS,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,61(1),-,-,-,-,-,-,-,-
JHKND Govt Quota,UR,Jharkhand,"MGM Med Coll, Jamshedpur",OBG,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,62(1),-,-,-,-,-,-,-
JHKND Govt Quota,UR,Jharkhand,"MGM Med Coll, Jamshedpur",DCH,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,83(1),-,-,-,-,-,-,-
JHKND Govt Quota,BC-II,Jharkhand,"Rajendra IMS, Ranchi",GENERAL SURGERY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,88(1),-,-,-,-,-,-,-,-
JHKND Govt Quota,BC-II,Jharkhand,"Rajendra IMS, Ranchi",ENT,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,101(1),-,-,-,-,-,-,-,-
JHKND Govt Quota,UR,Jharkhand,"MGM Med Coll, Jamshedpur",DMRD,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,57(1),-,109(1),-,-,-,-,-,-
JHKND Govt Quota,BC-II,Jharkhand,"MGM Med Coll, Jamshedpur",PAEDIATRICS,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,111(1),-,-,-,-,-,-
JHKND Govt Quota,EWS,Jharkhand,"MGM Med Coll, Jamshedpur",GENERAL SURGERY,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,92(1),115(1),-,-,-,-,-,-,-
JHKND Govt Quota,EWS,Jharkhand,"MGM Med Coll, Jamshedpur",PAEDIATRICS,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,117(1),-,-,-,-,-,-
JHKND Govt Quota,BC-I,Jharkhand,"Rajendra IMS, Ranchi",ENT,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,84(1),-,125(1),-,-,-,-,-,-
JHKND Govt Quota,UR,Jharkhand,"Sadar Hospital, Ranchi",DNBOBG,-,-,-,-,500,-,-,133(1),-,-,-,-,-,-
JHKND Govt Quota,SC,Jharkhand,"MGM Med Coll, Jamshedpur",OBG,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,140(1),-,-,-,-,-,-,-,-
JHKND Govt Quota,ST,Jharkhand,"MGM Med Coll, Jamshedpur",DERMATOLOGY,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,174(1),-,-,-,-,-,-,-,-
JHKND Govt Quota,SC,Jharkhand,"Rajendra IMS, Ranchi",ENT,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,176(1),-,-,-,-,-,-,-,-
JHKND Govt Quota,SC,Jharkhand,"MGM Med Coll, Jamshedpur",ORTHOPAEDICS,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,190(1),-,-,-,-,-,-
JHKND Govt Quota,BC-I-PH,Jharkhand,"Rajendra IMS, Ranchi",PAEDIATRICS,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,207(1),-,-,-,-,-,-,-,-
