Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
GUJ Govt-AllGujStud.,GQ-EW,Gujarat,"GCS Med Coll, Ahmedabad",RADIO DIAGNOSIS,"₹29,00,000*","₹84,000*",0,₹0,750,-,-,-,-,-,-,-,289(1),289(1),289(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"Dr MK Shah Med Coll, Ahmedabad",DERMATOLOGY,"₹23,00,000*","₹84,000*",0,₹0,350,-,-,-,-,-,-,-,290(1),290(1),290(1),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"GMERS, Sola",DERMATOLOGY,"₹10,00,000*","₹84,000*",0,₹0,900,-,-,-,-,-,-,-,42(1),294(1),294(1),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"Govt Med Coll, Surat",GENERAL SURGERY,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1150,262(1),262(1),262(1),-,-,-,-,263(1),296(1),296(1),-,-
GUJ Govt-AllGujStud.,GQ-EW,Gujarat,"BJMC, Ahmedabad",PAEDIATRICS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,189(1),189(1),400(1),-,-,-,-,228(1),298(1),298(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"Govt Med Coll, Surat",PAEDIATRICS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1150,158(4),332(4),421(4),-,-,-,-,234(2),284(2),300(2),-,-
GUJ Govt-AllGujStud.,GQ-EW,Gujarat,"Govt Med Coll, Bhavnagar",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",720,-,-,-,-,-,-,-,68(1),120(1),303(1),-,-
GUJ Govt-AllGujStud.,GQ-SC,Gujarat,"BJMC, Ahmedabad",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,258(1),258(1),258(1),-,-,-,-,69(1),319(1),319(1),-,-
GUJ Govt-AllGujStud.,GQ-SE,Gujarat,"Surat Municipal, Surat",RADIO DIAGNOSIS,"₹18,64,000*","₹84,000*",0,₹0,750,445(1),445(1),445(1),-,-,-,-,260(1),328(1),328(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"PDU Med Coll, Rajkot",PAEDIATRICS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",750,201(2),349(2),387(2),-,-,-,-,232(1),291(1),329(1),-,-
GUJ Govt-AllGujStud.,GQ-EW,Gujarat,"NHL Med Coll, Ahmedabad",GENERAL MEDICINE,"₹7,93,000*","₹84,000*",0,₹0,2220,228(2),228(2),263(2),-,-,-,-,182(2),237(2),335(2),-,-
GUJ Govt-AllGujStud.,GQ-SE,Gujarat,"Medical College, Baroda",DERMATOLOGY,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,169(1),169(1),169(1),-,-,-,-,273(1),336(1),336(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"Adani Institute, Bhuj",RADIO DIAGNOSIS,"₹33,00,000*","₹84,000*",0,₹0,750,340(1),344(1),344(1),-,-,-,-,251(1),388(1),337(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"GMERS, Gotri, Vadodara",PAEDIATRICS,"₹11,25,000*","₹84,000*",0,₹0,730,-,-,-,-,-,-,-,424(1),469(1),341(1),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"Govt Med Coll, Surat",PAEDIATRICS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1150,135(1),485(1),485(1),-,-,-,-,310(2),345(2),345(2),-,-
GUJ Govt-Inst. Pref,UQ-SE,Gujarat,"NHL Med Coll, Ahmedabad",GENERAL MEDICINE,"₹7,93,000*","₹84,000*",0,₹0,2220,285(1),285(1),402(1),-,-,-,-,347(2),347(2),347(2),-,-
GUJ Govt-Inst. Pref,UQ-EW,Gujarat,"BJMC, Ahmedabad",OBG,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,-,-,-,-,-,-,-,190(1),349(1),349(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"GMERS, Sola",GENERAL MEDICINE,"₹11,25,000*","₹84,000*",0,₹0,900,-,-,-,-,-,-,-,178(3),218(3),350(3),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"BJMC, Ahmedabad",ORTHOPAEDICS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,120(1),275(2),275(2),-,-,-,-,-,353(1),353(1),-,-
GUJ Govt-AllGujStud.,GQ-EW,Gujarat,"AMCET, Ahmedabad",GENERAL MEDICINE,"₹9,67,000*","₹1,00,800*",0,₹0,1050,176(2),176(2),255(2),-,-,-,-,237(2),303(2),359(2),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"BJMC, Ahmedabad",OBG,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,114(3),216(3),216(3),-,-,-,-,226(3),325(4),361(4),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"Govt Med Coll, Surat",GENERAL SURGERY,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1150,230(2),279(3),279(3),-,-,-,-,224(2),281(2),367(2),-,-
GUJ Govt-AllGujStud.,GQ-SE,Gujarat,"NHL Med Coll, Ahmedabad",GENERAL MEDICINE,"₹7,93,000*","₹84,000*",0,₹0,2220,424(5),470(5),526(5),-,-,-,-,416(5),368(5),368(5),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"GMERS, Sola",GENERAL MEDICINE,"₹11,25,000*","₹84,000*",0,₹0,900,-,-,-,-,-,-,-,149(1),242(1),370(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"Medical College, Baroda",OBG,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,219(2),347(3),347(3),-,-,-,-,343(4),386(4),374(4),-,-
GUJ Govt-Inst. Pref,UQ-EW,Gujarat,"Govt Med Coll, Surat",PAEDIATRICS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1150,-,-,-,-,-,-,-,387(1),377(1),377(1),-,-
GUJ Govt-Inst. Pref,UQ-EW,Gujarat,"AMCET, Ahmedabad",GENERAL MEDICINE,"₹9,67,000*","₹1,00,800*",0,₹0,1050,156(1),156(1),176(1),-,-,-,-,157(1),157(1),381(1),-,-
