Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2023 8,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6
MAHA-Govt Quota,OPEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL SURGERY,"₹1,43,300*","₹92,522",1,"₹50,00,000",1462,127(2),127(2),127(2),127(2),127(2),-,-,-,190(2),285(2),308(2),-,-,-
MAHA-Govt Quota,SC,Maharashtra,"Govt Med Coll, Aurangabad",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",1177,-,-,-,-,-,-,-,-,309(1),309(1),309(1),-,-,-
MAHA-Govt Quota,OBC,Maharashtra,"Grant Med Coll, Mumbai",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",2844,146(2),146(2),146(2),146(2),146(2),-,-,-,166(2),316(2),316(2),-,-,-
MAHA-Govt Quota,OBC,Maharashtra,"HBT & RN Cooper, Mumbai",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",940,154(1),154(1),154(1),154(1),154(1),-,-,-,144(1),319(1),319(1),-,-,-
MAHA-Govt Quota,EWS,Maharashtra,"MPGIMER, Nashik",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",-,-,-,-,-,-,-,-,-,294(1),294(1),323(1),-,-,-
MAHA-Govt Quota,SEBC,Maharashtra,"HBT & RN Cooper, Mumbai",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",940,-,-,-,-,-,-,-,-,146(1),246(1),329(1),-,-,-
MAHA-Govt Quota,OBC,Maharashtra,"Pimpri Chinchwad, Pimpri",DERMATOLOGY,"₹1,43,300*","₹92,522",1,"₹50,00,000",750,-,-,-,-,-,-,-,-,209(1),305(1),331(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Grant Med Coll, Mumbai",OBG,"₹1,43,300*","₹92,522",1,"₹50,00,000",2844,319(4),412(4),441(4),441(4),441(4),-,-,-,295(3),315(3),340(3),-,-,-
MAHA-Govt Quota,SC,Maharashtra,"Topiwala, Mumbai",DERMATOLOGY,"₹1,43,300*","₹92,522",1,"₹50,00,000",1300,-,-,-,-,-,-,-,-,345(1),345(1),345(1),-,-,-
MAHA-Govt Quota,SEBC,Maharashtra,"Indira Gandhi MedColl, Nagpur",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",822,-,-,-,-,-,-,-,-,349(1),349(1),349(1),-,-,-
MAHA-Govt Quota,SEBC,Maharashtra,"MGIMS, Wardha",GENERAL MEDICINE,"₹1,43,300*","₹89,698",1,"₹50,00,000",1000,-,-,-,-,-,-,-,-,246(1),350(1),350(1),-,-,-
MAHA-Govt Quota,EWS,Maharashtra,"Govt Med Coll, Miraj",DERMATOLOGY,"₹1,43,300*","₹92,522",1,"₹50,00,000",725,-,-,-,-,-,-,-,-,284(1),284(1),351(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Govt Med Coll, Chandrapur",DERMATOLOGY,"₹1,43,300*","₹92,522",1,"₹50,00,000",650,222(1),256(1),573(1),573(1),573(1),-,-,-,185(1),310(1),353(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Seth GS, Mumbai",PAEDIATRICS,"₹1,43,300*","₹92,522",1,"₹50,00,000",2250,131(4),227(4),312(4),312(4),312(4),-,-,-,212(3),250(3),354(3),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Bombay Hospital IMS, Mumbai",OBG,"₹8,92,858*","₹70,000",0,₹0,725,832(2),953(2),1065(2),1065(2),1065(2),-,-,-,356(1),356(1),356(1),-,-,-
MAHA-Govt Quota,OBC,Maharashtra,"BJMC, Pune",PAEDIATRICS,"₹1,43,300*","₹92,522",1,"₹50,00,000",1296,379(1),405(1),851(1),851(1),851(1),-,-,-,358(1),358(1),358(1),-,-,-
MAHA-Govt Quota,SEBC,Maharashtra,"Rajarshee CSM Govt MC,Kolhapur",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",665,-,-,-,-,-,-,-,-,248(1),329(1),362(1),-,-,-
MAHA-Govt Quota,EWS-PH,Maharashtra,"Grant Med Coll, Mumbai",GENERAL SURGERY,"₹1,43,300*","₹92,522",1,"₹50,00,000",2844,-,-,-,-,-,-,-,-,-,-,364(1),-,-,-
MAHA-Govt Quota,OBC,Maharashtra,"Sri Bhausaheb, Dhule",DERMATOLOGY,"₹1,43,300*","₹92,522",1,"₹50,00,000",545,305(1),382(1),601(1),601(1),601(1),-,-,-,319(1),370(1),370(1),-,-,-
MAHA-Govt Quota,OBC,Maharashtra,"Pimpri Chinchwad, Pimpri",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",750,-,-,-,-,-,-,-,-,187(1),369(1),371(1),-,-,-
MAHA-Govt Quota,SEBC,Maharashtra,"Govt Med Coll, Miraj",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",725,-,-,-,-,-,-,-,-,329(1),362(1),374(1),-,-,-
MAHA-Govt Quota,OBC,Maharashtra,"Topiwala, Mumbai",OBG,"₹1,43,300*","₹92,522",1,"₹50,00,000",1300,484(1),551(1),837(1),837(1),837(1),-,-,-,377(1),377(1),377(1),-,-,-
