Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2024 1,CR 2024 2,CR 2024 3
DNB Sponsored,GEN,Tamil Nadu,"Madras Medical Mission,Chennai",DNBCARDIOTHORACIC 6 YRS,"₹1,25,000","₹52,500",0,₹0,200,-,-,-,68021(1),-,-
DNB Sponsored,GEN,Tamil Nadu,"Preethi Hospital, Madurai",DNBORTHOPAEDICS,-,-,-,-,214,-,-,-,68322(1),-,-
DNB Sponsored,GEN,Tamil Nadu,"Aravind Eye Hospital, Noombal",DNBOPHTHALMOLOGY,-,-,-,-,250,-,-,-,68513(1),68513(1),-
DNB Sponsored,GEN,Haryana,"Medanta The Medicity, Gurgaon",DNBANAESTHESIOLOGY,"₹1,25,000","₹59,000*",0,₹0,1200,62051(1),-,-,68978(1),-,-
DNB Sponsored,GEN,Tamil Nadu,"Apollo Hosp, Greams Rd,Chennai",DNBNEUROSURGERY 6 YRS,"₹1,25,000","₹48,000",0,₹0,745,73416(1),-,-,69192(1),-,-
DNB Sponsored,GEN,Delhi,"Batra Hospital, Delhi",DNBANAESTHESIOLOGY,"₹1,25,000","₹61,000",0,₹0,495,55887(1),-,-,69387(1),-,-
DNB Sponsored,GEN,Karnataka,"NarayanaHrudyalaya,Bommasandra",DNBANAESTHESIOLOGY,-,-,-,-,2000,-,-,-,72392(1),-,-
DNB Sponsored,GEN,Telangana,"Asha Hospital, Hyderabad",DNBPSYCHIATRY,"₹1,25,000","₹50,686",0,₹0,96,59665(1),59665(1),93221(1),72775(1),-,-
DNB Sponsored,GEN,Telangana,"Krishna IMS, Secunderabad",DNBANAESTHESIOLOGY,"₹1,25,000","₹50,686",0,₹0,675,39445(1),-,93889(1),73911(1),73911(1),-
DNB Sponsored,GEN,West Bengal,"The Mission Hosp, Durgapur, WB",DNBANAESTHESIOLOGY,-,-,-,-,360,-,-,-,74535(1),-,-
DNB Sponsored,GEN,Odisha,"JaiprakashHosp,Rourkela,Odisha",DNBFAMILY MEDICINE,-,-,-,-,307,-,-,-,75096(1),-,-
DNB Sponsored,GEN,Karnataka,"MM Joshi Eye Hospital, Hubli",DNBOPHTHALMOLOGY,"₹1,25,000","₹45,000",0,₹0,40,56511(1),-,-,76663(1),-,-
DNB Sponsored,GEN,Maharashtra,"Ruby Hall Clinic, Pune",DNBANAESTHESIOLOGY,-,-,-,-,600,-,-,-,81357(1),-,-
DNB Sponsored,GEN,Karnataka,"Manipal Hosp, Rustum Bagh, BLR",DNBANAESTHESIOLOGY,"₹1,25,000","₹45,000",0,₹0,600,59092(1),59092(1),116046(1),72035(1),81731(1),-
DNB Sponsored,GEN,Maharashtra,"Jehangir Hospital, Pune",DNBANAESTHESIOLOGY,"₹1,25,000","₹65,791*",0,₹0,335,73499(1),73499(2),184106(1),81731(1),75313(1),-
DNB Sponsored,GEN,Kerala,"Little Flower Hosp, Angamaly",DNBOPHTHALMOLOGY,-,-,-,-,690,-,-,-,83426(1),-,-
DNB Sponsored,GEN,Maharashtra,"Jehangir Hospital, Pune",DNBFAMILY MEDICINE,"₹1,25,000","₹65,791*",0,₹0,335,65569(1),78433(1),-,75756(1),85391(1),-
DNB Sponsored,GEN,Karnataka,"Sahyadri Narayana Hosp,Shimoga",DNBANAESTHESIOLOGY,"₹1,25,000","₹45,000",0,₹0,228,78787(1),-,-,87844(1),87236(1),-
DNB Sponsored,GEN,Tamil Nadu,"Kovai MedicalCentre,Coimbatore",DNBANAESTHESIOLOGY,"₹1,25,000","₹48,000",0,₹0,950,80224(1),-,-,88082(1),-,-
