Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6,CR 2024 7
KER Govt Quota,MU,Kerala,"Govt Med Coll, Thrissur",ANAESTHESIOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,927(1),1363(1),1363(1),-,-,950(1),1187(1),1730(1),-,-,-,-
KER Self Fin. Seats,MU,Kerala,"Travancore Med Coll, Kollam",GENERAL MEDICINE,"₹18,49,748*","₹50,000",0*,₹0*,750,-,-,-,-,-,1363(1),1382(1),1731(1),-,-,-,-
KER Govt Quota,MU,Kerala,"TD Med Coll, Allepey",ANAESTHESIOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",1050,-,-,-,-,-,1109(1),1254(1),1732(1),2393(1),-,-,-
KER Govt Quota,SM,Kerala,"Govt of Med Sci, Pariyaram",ENT,"₹69,470*","₹57,876",1*,"₹50,00,000*",1752,-,-,-,-,-,954(2),1190(2),1752(2),2011(1),-,-,-
KER Govt Quota,SM,Kerala,"Govt of Med Sci, Pariyaram",ANAESTHESIOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",1752,-,-,-,-,-,912(1),1077(1),1753(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt Med Coll, Kottayam",ORTHOPAEDICS,"₹69,470*","₹57,876",1*,"₹50,00,000*",Info Not Available,320(3),368(3),573(3),-,-,537(2),617(2),1796(2),-,-,-,-
KER Self Fin. Seats,AC,Kerala,"Pushpagiri IMS, Tiruvalla",PAEDIATRICS,"₹18,49,748*","₹43,000",0,₹0,955,1439(1),1439(1),1439(1),-,-,1335(1),1338(1),1801(1),2371(1),-,-,-
KER Govt Quota,LA,Kerala,"Govt Med Coll, Kottayam",ORTHOPAEDICS,"₹69,470*","₹57,876",1*,"₹50,00,000*",Info Not Available,-,-,-,-,-,920(1),920(1),1805(1),-,-,-,-
KER Self Fin. Seats,SM,Kerala,"Pushpagiri IMS, Tiruvalla",OBG,"₹18,49,748*","₹43,000",0,₹0,955,1356(1),1873(1),1873(1),-,-,1630(1),1630(1),1827(1),-,-,-,-
KER Self Fin. Seats,SM,Kerala,"SreeUthradomThirunal,Trivandrum",PAEDIATRICS,"₹18,49,748*","₹53,000",0,₹0,-,-,-,-,-,-,1530(1),1625(1),1828(1),-,-,-,-
KER Self Fin. Seats,SM,Kerala,"Believers Church, Thiruvalla",EMERGENCY MEDICINE,"₹18,49,748*","₹53,000",0,₹0,750,-,-,-,-,-,-,1133(1),1840(1),-,-,-,-
KER Govt Quota,EZ,Kerala,"Govt Med Coll, Kozhikode",ANAESTHESIOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,834(1),1079(1),1473(1),-,-,960(1),1104(1),1842(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt Med Coll, Kozhikode",PATHOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,1473(3),1473(3),2121(3),2843(1),-,1216(2),1455(2),1862(2),-,-,-,-
KER Self Fin. Seats,SC,Kerala,"Sree Gokulam, Trivandrum",GENERAL MEDICINE,"₹17,49,006*","₹53,000",0,₹0,760,-,-,-,-,-,1705(1),2141(1),1874(1),-,-,-,-
KER Govt Quota,MU,Kerala,"TD Med Coll, Allepey",ENT,"₹69,470*","₹57,876",1*,"₹50,00,000*",1050,-,-,-,-,-,1007(1),1111(1),1879(1),-,-,-,-
KER Govt Quota,EW,Kerala,"Govt Med Coll, Kozhikode",ANAESTHESIOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,-,-,-,-,-,1318(1),1467(1),1891(1),-,-,-,-
KER Self Fin. Seats,SM,Kerala,"Believers Church, Thiruvalla",OBG,"₹18,49,748*","₹53,000",0,₹0,750,-,-,-,-,-,1914(1),1914(1),1894(1),-,-,-,-
KER Self Fin. Seats,SM,Kerala,"KMCT Med Coll, Kozhikode",PAEDIATRICS,"₹18,49,748*","₹53,000",0,₹0,790,-,-,-,-,-,1361(1),1915(4),1897(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt of Med Sci, Pariyaram",ORTHOPAEDICS,"₹69,470*","₹57,876",1*,"₹50,00,000*",1752,-,-,-,1195(1),-,721(1),721(1),1905(1),1826(1),-,-,-
KER Govt Quota,SM,Kerala,"Govt Med Coll, Thrissur",ORTHOPAEDICS,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,350(3),437(3),763(3),-,-,588(3),667(3),1915(3),-,-,-,-
KER Self Fin. Seats,SM,Kerala,"MES Med Coll, Malappuram",OBG,"₹18,49,748*","₹53,000",1*,"₹10,00,000*",680,1753(1),2026(1),2026(1),-,-,1693(1),1693(1),1917(1),-,-,-,-
