Counselling,Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,Fee Session,CR 2023 0,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 0,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 3.5,CR 2024 4,CR 2024 5,CR 2024 6
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata Med Coll, Khammam",GENERAL MEDICINE,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1080,2024,-,106(3),177(3),190(3),190(3),190(3),190(3),-,-,163(6),150(6),216(6),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"Adesh Med Coll, Shahabad",ANAESTHESIOLOGY,"₹14,02,000*","₹44,000",0,₹0,775,2024,-,818(2),511(2),368(2),-,-,-,-,-,1181(2),726(2),224(1),-,95(1),58(1),-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mediciti IMS, Ghanpur",GENERAL MEDICINE,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",720,2024,-,172(2),233(2),353(2),590(2),590(2),590(2),-,-,135(2),166(2),225(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"CAIMS, Karimnagar",RADIO DIAGNOSIS,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",1000,2024,-,70(3),109(3),114(3),114(3),114(3),114(3),-,-,92(2),128(2),226(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata AcadofMedSci,Bachupally",OBG,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,-,-,-,-,-,-,-,-,228(2),228(2),228(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"CAIMS, Karimnagar",DERMATOLOGY,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",1000,2024,-,107(1),175(1),175(1),175(1),175(1),175(1),-,-,230(1),230(1),230(1),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"World College of MS&RC, Jhajjar",GENERAL SURGERY,"₹14,02,000*","₹56,100",0,₹0,-,2024,-,706(2),603(5),477(4),276(4),-,-,-,-,1111(4),622(3),236(2),-,85(1),25(1),-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"World College of MS&RC, Jhajjar",PSYCHIATRY,"₹14,02,000*","₹56,100",0,₹0,-,2024,-,781(1),606(1),396(1),271(2),590(2),-,-,-,1110(1),514(1),242(1),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"NC Med Coll, Panipat",ENT,"₹14,02,000*","₹40,000",0,₹0,680,2024,-,888(1),741(1),522(1),331(1),902(1),-,-,-,960(1),687(1),243(1),-,134(1),-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SMVMCH, Pondicherry",GENERAL MEDICINE,"₹23,90,000*",₹0*,0,₹0,900,2024,-,48(9),454(9),508(9),-,-,-,-,-,32(9),218(9),245(9),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"Al Falah SchooloffMS,Faridabad",OBG,"₹29,90,000*","₹55,000",0,₹0,-,2024,-,752(2),585(2),-,-,-,-,-,-,985(2),679(2),245(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata AcadofMedSci,Bachupally",PAEDIATRICS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,-,-,-,-,-,-,-,-,185(2),247(2),247(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mediciti IMS, Ghanpur",DERMATOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",720,2024,-,112(1),136(1),136(1),136(1),136(1),136(1),-,-,56(1),250(1),250(1),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"KPC Med Coll, Jadavpur",RADIO DIAGNOSIS,"₹27,00,000*","₹43,758",0,₹0,750,2024,-,399(2),830(2),830(2),830(2),-,-,-,-,89(1),254(1),254(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni (KAMSRC), Hyderabad",OBG,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",650,2024,-,118(2),125(2),125(2),125(2),125(2),125(2),-,-,256(2),256(2),256(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Apollo IMSR, Hyderabad",EMERGENCY MEDICINE,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",570,2024,-,387(1),589(1),589(1),589(1),589(1),589(1),-,-,263(1),263(1),263(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni (KAMSRC), Hyderabad",TBRD,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",650,2024,-,385(1),429(1),429(1),429(1),429(1),429(1),-,-,278(1),278(1),278(1),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"SGGST Med Coll, Gurgaon",TBRD,"₹29,00,000*","₹56,100",Info Not Available,Info not available,720,2024,-,767(1),605(1),371(1),-,-,-,-,-,1138(1),727(1),278(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Dr Patnam MRInstofMS,Chevella",DERMATOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,130(1),139(1),221(1),221(1),221(1),221(1),-,-,246(1),254(1),283(1),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",OBG,"₹15,50,000*","₹25,000*",0,₹0,1130,2024,-,128(1),184(1),184(1),-,-,-,-,-,220(1),179(1),285(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"CAIMS, Karimnagar",GENERAL MEDICINE,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",1000,2024,-,116(4),189(4),304(4),304(4),304(4),304(4),-,-,174(4),187(4),291(4),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"PIMS, Pondicherry",ORTHOPAEDICS,"₹23,90,000","₹43,000",0,₹0,740,2024,-,-,-,-,-,-,-,-,-,-,-,291(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Apollo IMSR, Hyderabad",OBG,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",570,2024,-,40(1),211(1),126(1),126(1),126(1),126(1),-,-,62(1),242(1),296(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Dr Patnam MRInstofMS,Chevella",RADIO DIAGNOSIS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,-,144(1),144(1),144(1),144(1),144(1),-,-,-,-,307(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mediciti IMS, Ghanpur",OBG,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",720,2024,-,310(1),347(1),347(1),347(1),347(1),347(1),-,-,310(1),310(1),310(1),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"SGGST Med Coll, Gurgaon",ENT,"₹22,00,000*","₹56,100",Info Not Available,Info not available,720,2024,-,890(1),-,-,-,-,-,-,-,1203(2),775(2),312(1),-,145(1),-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"RVM IMSRC, Siddipet",GENERAL SURGERY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1110,2024,-,88(1),91(1),91(1),91(1),91(1),91(1),-,-,315(1),315(1),315(1),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"SGGST Med Coll, Gurgaon",OPHTHALMOLOGY,"₹29,00,000*","₹56,100",Info Not Available,Info not available,720,2024,-,864(2),736(2),453(2),231(1),-,-,-,-,997(1),778(1),316(1),-,-,-,-
Punjab PG,PB Priv-DMC Mgmt,GEN,Punjab,"DMC, Ludhiana",ANAESTHESIOLOGY,"₹6,50,000*","₹50,000",0,₹0,1326,2024,-,328(2),291(2),289(3),-,-,-,-,-,355(2),307(2),320(3),-,-,-,-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"GSL Med Coll, Rajahmundry",GENERAL MEDICINE,"₹9,93,600*","₹30,000*",1*,Info not available*,1140,2024,-,25(1),242(1),-,-,-,-,-,-,18(1),18(1),331(1),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SMVMCH, Pondicherry",PAEDIATRICS,"₹23,90,000*",₹0*,0,₹0,900,2024,-,84(6),577(6),679(6),-,-,-,-,-,61(6),306(6),334(6),-,-,-,-
Punjab PG,PB Priv-AdeshAllIndia,GEN,Punjab,"Adesh IMS, Bhatinda",PSYCHIATRY,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,2024,-,-,-,-,-,-,-,-,-,338(1),196(1),340(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni IMS, Narketpally",RADIO DIAGNOSIS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1060,2024,-,81(1),142(1),138(1),138(1),138(1),138(1),-,-,61(1),61(1),343(1),-,-,-,-
Punjab PG,PB Priv-AdeshAllIndia,GEN,Punjab,"Adesh IMS, Bhatinda",GENERAL SURGERY,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,2024,-,330(2),300(2),307(1),-,-,-,-,-,311(1),435(1),355(2),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SMVMCH, Pondicherry",OBG,"₹23,90,000*",₹0*,0,₹0,900,2024,-,36(3),372(3),449(3),-,-,-,-,-,88(3),357(3),357(3),-,-,-,-
