Counselling,Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,Fee Session,CR 2023 0,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 0,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 3.5,CR 2024 4,CR 2024 5,CR 2024 6
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"MS Ramaiah, Bangalore",OBG,"₹75,40,750*","₹45,000",1*,"₹50,00,000*",1331,2024,-,-,103015(1),43950(1),-,-,-,-,38731(1),29803(1),55634(1),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Sapthagiri IMS&RC, Bangalore",PSYCHIATRY,"₹20,41,500*","₹10,000*",1*,"₹50,00,000*",500,2024,30670(1),30598(1),60502(1),-,-,-,-,-,39918(1),38819(1),55803(1),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"SDM College, Dharwad",PATHOLOGY,"₹3,65,390*","₹45,000*",1*,"₹50,00,000*",670,2024,42026(1),48459(1),93046(1),-,-,-,-,-,49809(1),44440(1),57626(1),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"DR BR Ambedkar, Bangalore",MICROBIOLOGY,₹0*,"₹10,000*",1*,"₹50,00,000*",570,2024,-,-,-,-,-,-,-,-,-,57935(1),-,-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"AIMS, Adichunchanagiri, Bellur",ENT,"₹26,15,750*","₹23,750",1*,"₹50,00,000*",1120,2024,-,-,-,-,-,-,-,-,45856(1),47024(1),59024(1),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"St John's, Bangalore",PHARMACOLOGY,"₹4,09,025*","₹45,000",1*,"₹5,00,000*",1720,2024,-,-,160678(2),160678(1),197265(1),-,-,-,53463(1),60291(1),-,-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"East Point College,Bangalore",MICROBIOLOGY,"₹3,59,003*","₹20,000",1*,"₹50,00,000*",-,2024,-,-,-,-,-,-,-,-,-,61890(1),-,-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Father Mullers, Mangalore",OBG,"₹60,15,750*","₹35,000*",1*,"₹50,00,000*",1250,2024,-,-,73975(1),74348(1),-,-,-,-,20711(1),45552(1),64343(1),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Father Mullers, Mangalore",PAEDIATRICS,"₹60,15,750*","₹35,000*",1*,"₹50,00,000*",1250,2024,-,-,102154(1),-,-,-,-,-,20277(1),42366(1),64588(1),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"SDM College, Dharwad",OBG,"₹75,15,750*","₹45,000*",1*,"₹50,00,000*",670,2024,-,-,50507(1),-,-,-,-,-,44755(1),65102(1),65102(1),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Khaja Bandanawaz, Gulbarga",GENERAL MEDICINE,"₹60,30,750*","₹30,000*",1*,"₹50,00,000*",833,2024,-,-,-,-,-,-,-,-,19432(1),31986(1),65752(1),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Sapthagiri IMS&RC, Bangalore",ANAESTHESIOLOGY,"₹23,41,500*","₹10,000*",1*,"₹50,00,000*",500,2024,38077(3),38471(3),78915(3),-,-,-,-,-,35210(1),36420(1),67619(1),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Father Mullers, Mangalore",GENERAL SURGERY,"₹60,15,750*","₹35,000*",1*,"₹50,00,000*",1250,2024,-,-,123797(1),146973(1),-,-,-,-,12368(1),36270(1),68443(1),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"SSIMS & RC, Davangere",PAEDIATRICS,"₹65,15,750*","₹30,000",1*,"₹50,00,000*",1190,2024,-,-,104185(1),-,-,-,-,-,30291(1),46741(1),68507(1),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"AIMS, Adichunchanagiri, Bellur",ANAESTHESIOLOGY,"₹26,15,750*","₹23,750",1*,"₹50,00,000*",1120,2024,42555(2),39723(2),93240(2),98572(1),-,-,-,-,40938(2),40938(2),68638(2),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"AIMS, Adichunchanagiri, Bellur",PATHOLOGY,"₹4,15,750*","₹23,750",1*,"₹50,00,000*",1120,2024,73700(2),62722(2),161439(2),159815(1),-,-,-,-,60900(1),54161(1),71910(1),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"SDM College, Dharwad",SPM,"₹1,15,750*","₹45,000*",1*,"₹50,00,000*",670,2024,-,-,-,-,-,-,-,-,71912(1),54045(1),54045(1),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Dr Chandramma DS Inst, Hubli",PATHOLOGY,"₹4,25,750*",Info not available,1*,"₹50,00,000*",-,2024,-,-,-,-,-,-,-,-,64059(1),63200(1),72556(1),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"VIMS (Vydehi), Bangalore",ANAESTHESIOLOGY,"₹25,15,750*","₹29,000*",1*,"₹50,00,000*",1600,2024,-,-,-,-,-,-,-,-,57551(2),41573(2),72726(2),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"SDM College, Dharwad",PSYCHIATRY,"₹28,15,750*","₹45,000*",1*,"₹50,00,000*",670,2024,-,-,-,-,-,-,-,-,45201(1),55353(1),74484(1),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"JJM Med Coll, Davangere",OBG,"₹80,15,750*","₹30,000*",1*,"₹50,00,000*",1930,2024,-,-,105163(3),138566(1),-,-,-,-,43617(3),48873(3),75006(2),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"AIMS, Adichunchanagiri, Bellur",ORTHOPAEDICS,"₹35,15,750*","₹23,750",1*,"₹50,00,000*",1120,2024,40301(2),31157(2),71714(2),87116(1),-,-,-,-,31233(2),42633(2),75614(2),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Father Mullers, Mangalore",PATHOLOGY,"₹7,65,750*","₹35,000*",1*,"₹50,00,000*",1250,2024,-,-,-,-,-,-,-,-,-,-,75939(1),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"AIMS, Adichunchanagiri, Bellur",GENERAL SURGERY,"₹35,15,750*","₹23,750",1*,"₹50,00,000*",1120,2024,30228(1),31346(1),61578(1),-,-,-,-,-,38895(3),45319(3),77152(3),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"MS Ramaiah, Bangalore",RADIO DIAGNOSIS,"₹1,10,40,750*","₹45,000",1*,"₹50,00,000*",1331,2024,-,-,33363(1),93413(1),-,-,-,-,31257(2),51182(2),77486(3),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Oxford Med Coll, Bangalore",PATHOLOGY,"₹3,59,003*","₹30,000*",1*,"₹50,00,000*",770,2024,-,-,148298(1),-,132091(1),-,-,-,47213(1),53722(1),77535(1),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"JJM Med Coll, Davangere",FORENSIC MEDICINE,"₹3,59,003*","₹30,000*",1*,"₹50,00,000*",1930,2024,-,-,161912(1),-,-,-,-,-,78517(1),-,-,-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"KVG Med Coll, Sullia",PATHOLOGY,"₹3,59,003*","₹7,500",1*,"₹50,00,000*",682,2024,53644(1),58666(1),142138(2),142138(1),152813(1),-,-,-,57497(1),52650(1),79200(1),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"AIMS, Adichunchanagiri, Bellur",PHARMACOLOGY,"₹2,30,750*","₹23,750",1*,"₹50,00,000*",1120,2024,-,-,-,-,-,-,-,-,-,81133(1),-,-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"MS Ramaiah, Bangalore",ORTHOPAEDICS,"₹75,40,750*","₹45,000",1*,"₹50,00,000*",1331,2024,-,-,-,-,-,-,-,-,58430(1),64371(1),83822(1),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"AIMS, Adichunchanagiri, Bellur",OBG,"₹70,15,750*","₹23,750",1*,"₹50,00,000*",1120,2024,-,-,111208(1),-,-,-,-,-,58825(1),83831(1),83831(1),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"JJM Med Coll, Davangere",ANAESTHESIOLOGY,"₹30,15,750*","₹30,000*",1*,"₹50,00,000*",1930,2024,-,-,110466(1),-,-,-,-,-,38627(1),49161(1),83972(3),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"MS Ramaiah, Bangalore",DERMATOLOGY,"₹1,25,40,750*","₹45,000",1*,"₹50,00,000*",1331,2024,-,-,37137(1),81912(1),134430(1),-,-,-,22020(1),22020(1),84554(1),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Kempegowda IMS, Bangalore",SPM,"₹3,59,003*","₹35,000*",1*,"₹50,00,000*",1100,2024,-,-,126687(1),-,148298(1),-,-,-,66814(1),63026(1),85175(1),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Shridevi IMS, Tumkur",PATHOLOGY,"₹3,59,003*",Info not available*,1*,"₹50,00,000*",750,2024,58803(1),60877(1),162186(2),-,-,-,-,-,62845(1),59562(1),85357(1),-,-,-,-,-
Sikkim PG,Sikkim Gen Quota,GEN,Sikkim,"SMIMS, Gangtok",SPM,"₹5,00,000*","₹34,000",0*,₹0*,500,2024,-,47606(1),-,-,-,-,-,-,-,86143(2),-,-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Kempegowda IMS, Bangalore",PHYSIOLOGY,"₹1,88,418*","₹35,000*",1*,"₹50,00,000*",1100,2024,-,-,-,-,-,-,-,-,87537(1),-,-,-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Basaveswara, Chitradurga",SPM,"₹3,59,003*","₹5,000*",1*,"₹50,00,000*",500,2024,-,-,200429(1),-,-,-,-,-,84578(1),88323(1),-,-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Basaveswara, Chitradurga",PATHOLOGY,"₹3,59,003*","₹5,000*",1*,"₹50,00,000*",500,2024,52718(1),52718(1),165656(2),-,-,-,-,-,60959(1),49809(1),88366(1),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"AIMS, Adichunchanagiri, Bellur",GENERAL MEDICINE,"₹75,15,750*","₹23,750",1*,"₹50,00,000*",1120,2024,-,-,110849(1),-,-,-,-,-,54684(1),64375(1),90049(2),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Oxford Med Coll, Bangalore",PATHOLOGY,"₹3,15,750*","₹30,000*",1*,"₹50,00,000*",770,2024,-,-,119361(1),119361(1),-,-,-,-,71082(1),56248(1),90194(1),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"MS Ramaiah, Bangalore",OPHTHALMOLOGY,"₹65,40,750*","₹45,000",1*,"₹50,00,000*",1331,2024,-,-,82652(1),-,-,-,-,-,48873(1),63066(1),90935(1),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"SMC, Shimoga",PATHOLOGY,"₹3,59,003*",Info not available,1*,"₹50,00,000*",1250,2024,57206(1),86067(1),178753(2),170096(1),-,-,-,-,63495(1),58304(1),91329(2),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"JJM Med Coll, Davangere",ENT,"₹30,15,750*","₹30,000*",1*,"₹50,00,000*",1930,2024,-,-,-,-,-,-,-,-,40067(1),49010(1),91907(1),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"SDM College, Dharwad",PAEDIATRICS,"₹75,15,750*","₹45,000*",1*,"₹50,00,000*",670,2024,-,-,106864(1),-,-,-,-,-,47024(2),64588(2),91993(2),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Kempegowda IMS, Bangalore",FORENSIC MEDICINE,"₹3,59,003*","₹35,000*",1*,"₹50,00,000*",1100,2024,-,-,193210(2),-,-,-,-,-,92833(1),-,-,-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Kempegowda IMS, Bangalore",FORENSIC MEDICINE,"₹3,15,750*","₹35,000*",1*,"₹50,00,000*",1100,2024,-,-,-,-,-,-,-,-,73684(1),92833(1),-,-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"VIMS (Vydehi), Bangalore",GENERAL MEDICINE,"₹75,15,750*","₹29,000*",1*,"₹50,00,000*",1600,2024,-,-,26665(2),138240(2),-,-,-,-,31041(4),69744(4),93823(5),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Kempegowda IMS, Bangalore",OPHTHALMOLOGY,"₹40,15,750*","₹35,000*",1*,"₹50,00,000*",1100,2024,-,-,-,-,-,-,-,-,48826(1),52593(1),94950(1),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"SDM College, Dharwad",PHARMACOLOGY,"₹25,750*","₹45,000*",1*,"₹50,00,000*",670,2024,-,-,-,-,-,-,-,-,64440(1),87191(1),-,-,-,-,95181(1),-
Sikkim PG,Sikkim Gen Quota,GEN,Sikkim,"SMIMS, Gangtok",MICROBIOLOGY,"₹5,00,000*","₹34,000",0*,₹0*,500,2024,-,65695(1),65695(1),112579(1),138727(1),-,-,-,-,96743(1),-,-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Nijalingappa, Bagalkot",FORENSIC MEDICINE,"₹3,59,003*","₹10,000*",1*,"₹50,00,000*",1140,2024,-,-,-,-,-,-,-,-,97345(1),-,-,-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"BGS IMS, Bangalore",PATHOLOGY,"₹8,15,750*","₹25,000*",1*,"₹50,00,000*",766,2024,-,-,-,-,-,-,-,-,71568(1),65128(1),97907(1),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"SDM College, Dharwad",HOSPITAL ADMINISTRATION,"₹7,14,030*","₹45,000*",1*,"₹50,00,000*",670,2024,68407(1),68407(1),96217(1),-,-,-,-,-,62535(1),54524(1),98259(1),-,-,-,-,-
Sikkim PG,Sikkim Gen Quota,GEN,Sikkim,"SMIMS, Gangtok",PHYSIOLOGY,"₹5,00,000*","₹34,000",0*,₹0*,500,2024,-,68004(2),66795(2),158559(2),-,-,-,-,-,98964(1),-,-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"St John's, Bangalore",PHYSIOLOGY,"₹1,09,025*","₹45,000",1*,"₹5,00,000*",1720,2024,-,-,-,-,-,-,-,-,98964(2),98964(2),-,-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Srinivasa IMS, Srinivasanagar",PAEDIATRICS,"₹60,40,750*","₹29,000*",1*,"₹50,00,000*",660,2024,-,-,-,-,-,-,-,-,62660(1),67187(1),99182(2),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"JJM Med Coll, Davangere",MICROBIOLOGY,"₹3,59,003*","₹30,000*",1*,"₹50,00,000*",1930,2024,-,-,-,-,-,-,-,-,99930(1),99930(1),-,-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"AIMS, Adichunchanagiri, Bellur",PSYCHIATRY,"₹42,15,750*","₹23,750",1*,"₹50,00,000*",1120,2024,-,-,-,-,-,-,-,-,60930(1),64125(1),100361(1),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Srinivasa IMS, Srinivasanagar",OBG,"₹65,40,750*","₹29,000*",1*,"₹50,00,000*",660,2024,-,-,119914(1),138588(1),-,-,-,-,50590(1),58825(1),100529(1),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"DR BR Ambedkar, Bangalore",PATHOLOGY,"₹5,15,750*","₹10,000*",1*,"₹50,00,000*",570,2024,-,-,-,-,-,-,-,-,64084(1),64084(1),100592(1),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"JJM Med Coll, Davangere",MICROBIOLOGY,"₹3,59,003*","₹30,000*",1*,"₹50,00,000*",1930,2024,-,-,-,-,-,-,-,-,-,100592(1),-,-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"MS Ramaiah, Bangalore",PATHOLOGY,"₹15,40,750*","₹45,000",1*,"₹50,00,000*",1331,2024,-,-,103186(1),-,-,-,-,-,42638(1),42638(1),100692(2),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"SSIMS & RC, Davangere",GENERAL SURGERY,"₹65,15,750*","₹30,000",1*,"₹50,00,000*",1190,2024,-,-,127848(1),150659(1),-,-,-,-,49836(1),87061(1),101026(1),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Khaja Bandanawaz, Gulbarga",GENERAL SURGERY,"₹40,30,750*","₹30,000*",1*,"₹50,00,000*",833,2024,-,-,-,-,-,-,-,-,31818(1),36316(1),101838(1),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"SSIMS & RC, Davangere",ANAESTHESIOLOGY,"₹25,15,750*","₹30,000",1*,"₹50,00,000*",1190,2024,-,-,-,-,-,-,-,-,-,-,102246(1),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Father Mullers, Mangalore",ORTHOPAEDICS,"₹60,15,750*","₹35,000*",1*,"₹50,00,000*",1250,2024,-,-,-,-,-,-,-,-,23786(1),58430(1),102716(1),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"MS Ramaiah, Bangalore",PAEDIATRICS,"₹80,40,750*","₹45,000",1*,"₹50,00,000*",1331,2024,-,-,125934(1),79384(1),-,-,-,-,31086(1),35911(1),104011(2),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Al-Ameen, Bijapur",OBG,"₹65,15,750*","₹9,000*",1*,"₹50,00,000*",1040,2024,-,-,130902(1),-,-,-,-,-,51824(2),71944(2),104222(3),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"AJIMS, Mangalore",PHARMACOLOGY,"₹3,59,003*","₹30,000",1*,"₹50,00,000*",910,2024,-,-,-,-,-,-,-,-,-,105978(1),-,-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Khaja Bandanawaz, Gulbarga",RADIO DIAGNOSIS,"₹85,30,750*","₹30,000*",1*,"₹50,00,000*",833,2024,-,-,-,-,-,-,-,-,53576(1),73499(1),106708(2),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Kempegowda IMS, Bangalore",OBG,"₹80,15,750*","₹35,000*",1*,"₹50,00,000*",1100,2024,-,-,114641(1),-,-,-,-,-,39142(1),39905(1),107471(1),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"AJIMS, Mangalore",MICROBIOLOGY,"₹3,59,003*","₹30,000",1*,"₹50,00,000*",910,2024,-,-,-,-,-,-,-,-,112053(1),82536(1),-,-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Kanachur IMS, Mangalore",PATHOLOGY,"₹3,59,003*",Info not available,1*,"₹50,00,000*",785,2024,-,-,180880(1),-,-,-,-,-,-,-,-,-,-,113873(1),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Father Mullers, Mangalore",EMERGENCY MEDICINE,"₹50,15,750*","₹35,000*",1*,"₹50,00,000*",1250,2024,-,-,-,-,-,-,-,-,26238(1),37555(1),114944(1),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"JJM Med Coll, Davangere",OPHTHALMOLOGY,"₹50,15,750*","₹30,000*",1*,"₹50,00,000*",1930,2024,-,-,125725(1),124588(1),-,-,-,-,46351(1),54967(1),118863(2),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Nijalingappa, Bagalkot",ANAESTHESIOLOGY,"₹40,15,750*","₹10,000*",1*,"₹50,00,000*",1140,2024,-,-,-,-,-,-,-,-,50281(1),82645(1),118953(1),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"VIMS (Vydehi), Bangalore",GENERAL SURGERY,"₹50,15,750*","₹29,000*",1*,"₹50,00,000*",1600,2024,-,-,97709(1),-,-,-,-,-,54222(2),55842(2),121790(6),-,-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Al-Ameen, Bijapur",PAEDIATRICS,"₹65,15,750*","₹9,000*",1*,"₹50,00,000*",1040,2024,-,-,-,-,-,-,-,-,50846(1),70470(1),129878(2),-,-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Shridevi IMS, Tumkur",SPM,"₹3,59,003*",Info not available*,1*,"₹50,00,000*",750,2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,152496(1),-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Kempegowda IMS, Bangalore",MICROBIOLOGY,"₹4,15,750*","₹35,000*",1*,"₹50,00,000*",1100,2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,178423(1),-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"St John's, Bangalore",FORENSIC MEDICINE,"₹1,09,025*","₹45,000",1*,"₹5,00,000*",1720,2024,91755(1),88778(1),91869(1),-,-,-,-,-,-,-,-,-,-,179728(1),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Kempegowda IMS, Bangalore",PHARMACOLOGY,"₹5,15,750*","₹35,000*",1*,"₹50,00,000*",1100,2024,-,-,-,-,-,-,-,-,92842(1),103875(1),-,-,-,183730(1),118164(1),-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Akash IMS,Devanhalli,Bangalore",SPM,"₹3,59,003*","₹20,000",1*,"₹50,00,000*",760,2024,-,-,-,-,-,-,-,-,108060(1),67850(1),-,-,-,-,187820(1),-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"MRMC, Gulbarga",MICROBIOLOGY,"₹3,59,003*","₹8,000*",1*,"₹50,00,000*",1038,2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,196627(1),-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Father Mullers, Mangalore",MICROBIOLOGY,"₹3,59,003*","₹35,000*",1*,"₹50,00,000*",1250,2024,-,-,-,-,-,-,-,-,82536(1),64280(1),122335(1),-,-,-,198057(1),-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"VIMS (Vydehi), Bangalore",FORENSIC MEDICINE,₹0*,"₹29,000*",0*,₹0*,1600,2024,-,-,-,-,157473(1),-,-,-,-,-,-,-,-,-,199114(1),-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"East Point College,Bangalore",SPM,"₹3,59,003*","₹20,000",1*,"₹50,00,000*",-,2024,-,-,-,-,-,-,-,-,100027(1),85175(1),-,-,-,-,199213(1),-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"St John's, Bangalore",BIOCHEMISTRY,"₹2,09,025*","₹45,000",1*,"₹5,00,000*",1720,2024,-,-,-,-,-,-,186634(1),-,75629(1),74430(1),-,-,-,139141(1),201067(1),-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Father Mullers, Mangalore",PHARMACOLOGY,"₹3,59,003*","₹35,000*",1*,"₹50,00,000*",1250,2024,-,51807(1),-,-,-,-,-,-,70917(1),70917(1),-,-,-,-,201830(1),-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"East Point College,Bangalore",PHARMACOLOGY,"₹3,59,003*","₹20,000",1*,"₹50,00,000*",-,2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,203191(1),-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"St John's, Bangalore",ANATOMY,"₹1,09,025*","₹45,000",1*,"₹5,00,000*",1720,2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,203264(1),-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"SMC, Shimoga",SPM,"₹3,59,003*",Info not available,1*,"₹50,00,000*",1250,2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,205545(1),-
UK PG,UK Priv-AllIndia/Mgmt,UR-OPEN,Uttarakhand,"SGRRI, Dehradun",RADIO DIAGNOSIS,"₹32,00,000*","₹59,065",1,"₹10,00,000",750,2024,-,-,-,-,15(1),-,-,-,-,-,-,-,-,-,-,-
UK PG,UK Priv-AllIndia/Mgmt,UR-OPEN,Uttarakhand,"HIMS, Dehradun",PAEDIATRICS,"₹26,00,000*","₹40,000",1,"₹2,50,00,000",1200,2024,-,-,-,-,20(1),-,-,-,-,-,-,-,-,-,-,-
UK PG,UK Priv-AllIndia/Mgmt,UR-OPEN,Uttarakhand,"SGRRI, Dehradun",OBG,"₹31,50,000*","₹59,065",1,"₹10,00,000",750,2024,-,-,-,-,21(1),3(1),-,-,-,-,-,-,-,-,-,-
UK PG,UK Priv-AllIndia/Mgmt,UR-OPEN,Uttarakhand,"SGRRI, Dehradun",TBRD,"₹25,75,000*","₹59,065",1,"₹10,00,000",750,2024,-,-,-,-,28(1),6(1),-,-,-,-,-,-,-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",RADIO DIAGNOSIS,"₹15,50,000*","₹25,000*",0,₹0,1130,2024,-,35(1),35(1),35(1),-,-,-,-,-,-,-,-,-,-,-,-
UK PG,UK Priv-AllIndia/Mgmt,UR-OPEN,Uttarakhand,"SGRRI, Dehradun",ORTHOPAEDICS,"₹31,00,000*","₹59,065",1,"₹10,00,000",750,2024,-,-,-,-,48(2),-,-,-,-,-,-,-,-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Malla Reddy(Women), Hyderabad",RADIO DIAGNOSIS,-,-,-,-,1050,-,-,27(1),50(1),50(1),50(1),50(1),50(1),-,-,-,-,-,-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Malla Reddy IMS, Hyderabad",RADIO DIAGNOSIS,-,-,-,-,940,-,-,14(4),37(4),52(4),52(4),52(4),52(4),-,-,-,-,-,-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"PIMS, Pondicherry",DERMATOLOGY,"₹23,90,000","₹43,000",0,₹0,740,2024,-,-,55(1),55(1),-,-,-,-,-,-,-,-,-,-,-,-
