Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4
AP Govt-NS LOC (AU),BCA-FEM,Andhra Pradesh,"Rajiv Gandhi IMS, Ongole",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",500,-,-,-,-,-,-,-,286(1),360(1),362(1),-
AP Govt-NS LOC (SVU),OPEN-GEN,Andhra Pradesh,"ACSR Medical College, Nellore",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",355,-,-,-,-,-,-,-,183(2),190(2),363(2),-
AP Govt-NS LOC (AU),BCE-FEM,Andhra Pradesh,"NRI Med Coll, Guntur",GENERAL MEDICINE,"₹4,96,800*","₹27,000*",1*,"₹40,00,000*",1050,-,-,-,-,-,-,-,365(1),365(1),367(1),-
AP Govt-NS APUR,OPEN-GEN,Andhra Pradesh,"Govt Siddhartha, Vijaywada",PAEDIATRICS,"₹48,600*","₹60,823",1*,"₹40,00,000*",707,-,-,-,-,-,-,-,148(1),-,371(2),-
AP Govt-NS LOC (AU),BCB-GEN,Andhra Pradesh,"Guntur Med Coll, Guntur",PAEDIATRICS,"₹48,600*","₹60,823",1*,"₹40,00,000*",1170,-,-,-,-,-,-,-,234(1),372(1),374(1),-
AP Govt-NS APUR,OPEN-FEM,Andhra Pradesh,"Guntur Med Coll, Guntur",OBG,"₹48,600*","₹60,823",1*,"₹40,00,000*",1170,-,-,-,-,-,-,-,298(1),298(1),378(1),-
AP Govt-NS LOC (SVU),OPEN-GEN,Andhra Pradesh,"Govt Med Coll, Ananthapuram",DERMATOLOGY,"₹48,600*","₹60,823",1*,"₹40,00,000*",500,-,-,-,-,-,-,-,171(1),223(1),380(1),-
AP Govt-NS APUR,OPEN-GEN,Andhra Pradesh,"Guntur Med Coll, Guntur",OBG,"₹48,600*","₹60,823",1*,"₹40,00,000*",1170,-,-,-,-,-,-,-,-,-,386(1),51(1)
AP Govt-NS APUR,BCB-GEN,Andhra Pradesh,"Narayana Med Coll, Nellore",RADIO DIAGNOSIS,"₹4,96,800*","₹30,000*",1*,"₹40,00,000*",1430,-,-,-,-,-,-,-,385(1),385(1),387(1),-
AP Govt-NS APUR,BCA-GEN,Andhra Pradesh,"Andhra Med Coll, Vizag",PAEDIATRICS,"₹48,600*","₹60,823",1*,"₹40,00,000*",1030,-,-,-,-,-,-,-,313(1),340(1),389(1),-
AP Govt-NS APUR,BCB-GEN,Andhra Pradesh,"Narayana Med Coll, Nellore",GENERAL MEDICINE,"₹4,96,800*","₹30,000*",1*,"₹40,00,000*",1430,-,-,-,-,-,-,-,388(1),388(1),390(1),-
AP Govt-NS LOC (AU),BCE-GEN,Andhra Pradesh,"Andhra Med Coll, Vizag",OBG,"₹48,600*","₹60,823",1*,"₹40,00,000*",1030,-,-,-,-,-,-,-,390(1),390(1),392(1),-
AP Govt-NS LOC (AU),BCD-GEN,Andhra Pradesh,"GreatEastern MedSch,Srikakulam",GENERAL MEDICINE,"₹4,96,800*",Info not available*,1*,"₹40,00,000*",780,-,-,-,-,-,-,-,394(1),394(1),396(1),-
AP Govt-NS LOC (AU),OPEN-FEM,Andhra Pradesh,"Guntur Med Coll, Guntur",PAEDIATRICS,"₹48,600*","₹60,823",1*,"₹40,00,000*",1170,249(1),412(1),-,-,-,-,-,-,293(1),401(1),-
AP Govt-NS APUR,OPEN-FEM,Andhra Pradesh,"Kurnool Med Coll, Kurnool",PAEDIATRICS,"₹48,600*","₹60,823",1*,"₹40,00,000*",1150,-,-,-,-,-,-,-,174(1),279(1),403(1),-
AP Govt-NS APUR,OPEN-GEN,Andhra Pradesh,"PES IMS, Kuppam",GENERAL MEDICINE,"₹4,96,800*","₹30,000*",1*,"₹40,00,000*",975,-,-,-,-,-,-,-,225(1),225(1),405(1),-
AP Govt-NS LOC (AU),OPEN-GEN,Andhra Pradesh,"Guntur Med Coll, Guntur",PAEDIATRICS,"₹48,600*","₹60,823",1*,"₹40,00,000*",1170,196(1),586(2),-,-,-,-,-,127(1),297(1),407(1),-
AP Govt-NS LOC (AU),OPEN-GEN,Andhra Pradesh,"Rajiv Gandhi IMS, Srikakulam",PAEDIATRICS,"₹48,600*","₹60,823",1*,"₹40,00,000*",532,-,645(1),-,-,-,-,-,-,325(1),409(1),-
