Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 3.5,CR 2024 4,CR 2024 5
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",NUCLEAR MEDICINE,"₹65,470*","₹51,000",3,"₹40,00,000",2879,1143(1),1143(1),1143(1),-,-,1058(1),1058(1),1058(1),-,-,-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Sri Muthukumaran, Chennai",GENERAL MEDICINE,"₹15,50,000*","₹25,000",0,₹0,720,951(3),1253(3),1253(3),-,-,1071(3),1071(3),1071(3),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Aravind Eye Hosp, Madurai",OPHTHALMOLOGY,"₹15,50,000*","₹48,000",2*,"₹40,00,000*",1090,397(10),511(10),511(10),-,-,644(10),719(10),1113(10),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Velammal Med Col, Madurai",PAEDIATRICS,"₹26,00,000*","₹37,000*",0,₹0,1024,768(1),768(1),768(1),-,-,666(1),1114(1),1114(1),-,-,-
TN CMC-Inst Preference,CMC-Institutional Preference,Tamil Nadu,"CMC, Vellore",OBG,"₹65,470*","₹51,000",3,"₹40,00,000",2879,1669(1),1669(1),1669(1),-,-,1122(1),1122(1),1122(1),-,-,-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Trichy SRM Med Coll, Trichy",GENERAL MEDICINE,"₹15,50,000*","₹35,000*",0,₹0,1575,812(1),812(1),812(1),-,-,855(4),928(4),1123(4),-,-,-
TN CMC-Inst Preference,CMC-Institutional Preference,Tamil Nadu,"CMC, Vellore",GENERAL MEDICINE,"₹65,470*","₹51,000",3,"₹40,00,000",2879,427(1),427(1),427(1),-,-,111(1),111(1),1145(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,Melmaruvathur Adiparasakthi,GENERAL SURGERY,"₹15,50,000*","₹35,000*",0,₹0,700,676(2),831(2),831(2),-,-,813(1),813(1),1175(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",DORTHO,"₹4,35,000*","₹25,000*",0,₹0,1130,686(1),968(1),968(1),-,-,1033(1),1154(1),1186(1),-,-,-
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",EMERGENCY MEDICINE,"₹65,470*","₹51,000",3,"₹40,00,000",2879,596(2),596(2),596(2),-,-,932(1),1211(1),1211(1),-,-,-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",OBG,"₹15,50,000*","₹35,000*",0,₹0,800,617(1),1721(1),1721(1),-,-,975(1),1237(1),1237(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Tagore Med Coll, Chennai",GENERAL SURGERY,"₹15,50,000*","₹35,000*",0,₹0,818,685(2),1245(3),1245(2),-,-,833(2),888(2),1252(2),-,3038(1),-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Trichy SRM Med Coll, Trichy",PAEDIATRICS,"₹15,50,000*","₹35,000*",0,₹0,1575,-,-,-,-,-,875(2),1123(2),1272(2),-,-,-
