Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 3
AFMS,Priority - Undefined,West Bengal,"Command Hospital, Kolkata",PAEDIATRICS,Info not available,"₹46,383",5*,"₹57,50,000*",760,31277(1)
AFMS,Priority - Undefined,West Bengal,"Command Hospital, Kolkata",ENT,Info not available,"₹46,383",5*,"₹57,50,000*",760,31841(1)
AFMS,Priority - Undefined,Maharashtra,"AFMC, Pune",GERIATRICS,Info not available,"₹77,869",5*,"₹57,50,000*",1082,32989(1)
AFMS,Priority - Undefined,West Bengal,"Command Hospital, Kolkata",OBG,Info not available,"₹46,383",5*,"₹57,50,000*",760,33260(1)
AFMS,Priority - III,Maharashtra,"AFMC, Pune",RADIO DIAGNOSIS,Info not available,"₹77,869",5*,"₹57,50,000*",1082,33885(1)
AFMS,Priority - Undefined,Haryana,"Command Hospital, Chandimandir",ANAESTHESIOLOGY,Info not available,"₹95,594*",5*,"₹57,50,000*",658,34224(1)
AFMS,Priority - Undefined,Haryana,"Command Hospital, Chandimandir",GENERAL SURGERY,Info not available,"₹95,594*",5*,"₹57,50,000*",658,34305(2)
AFMS,Priority - IV,Maharashtra,"INHS, Aswini",PAEDIATRICS,Info not available,"₹77,869",5*,"₹57,50,000*",825,34874(2)
AFMS,Priority - Undefined,Delhi,"Army R&R, Delhi",GENERAL SURGERY,Info not available,"₹1,17,000*",5*,"₹57,50,000*",995,35037(8)
AFMS,Priority - Undefined,Maharashtra,"AFMC, Pune",SPORTS MEDICINE,Info not available,"₹77,869",5*,"₹57,50,000*",1082,35477(2)
AFMS,Priority - V,Maharashtra,"AFMC, Pune",ENT,Info not available,"₹77,869",5*,"₹57,50,000*",1082,36152(2)
AFMS,Priority - Undefined,Delhi,"Army R&R, Delhi",OBG,Info not available,"₹1,17,000*",5*,"₹57,50,000*",995,36318(2)
AFMS,Priority - IV,Uttar Pradesh,"Command Hospital, Lucknow",PAEDIATRICS,Info not available,"₹95,000*",5*,"₹57,50,000*",780,36863(1)
