Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Malla Reddy(Women), Hyderabad",ANAESTHESIOLOGY,-,-,-,-,1050,750(2),854(2),1120(2),1120(2),1120(2),1120(2),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Malla Reddy IMS, Hyderabad",EMERGENCY MEDICINE,-,-,-,-,940,548(1),693(1),1132(1),1132(1),1132(1),1132(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Malla Reddy IMS, Hyderabad",GENERAL MEDICINE,-,-,-,-,940,996(4),1134(4),1134(4),1134(4),1134(4),1134(4),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Malla Reddy IMS, Hyderabad",PATHOLOGY,-,-,-,-,940,950(1),1069(1),1137(1),1137(1),1137(1),1137(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni (KAMSRC), Hyderabad",EMERGENCY MEDICINE,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",650,521(1),551(1),1148(1),1148(1),1148(1),1148(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"Apollo IMSR, Hyderabad",OPHTHALMOLOGY,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",570,-,-,-,-,-,1149(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Malla Reddy IMS, Hyderabad",OBG,-,-,-,-,940,1024(2),1153(2),1153(2),1153(2),1153(2),1153(2),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"Mahavir Inst of MS, Vikarabad",ORTHOPAEDICS,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",700,-,-,-,-,-,1155(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"CAIMS, Karimnagar",PSYCHIATRY,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",1000,635(1),1055(1),1158(1),1158(1),1158(1),1158(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"RVM IMSRC, Siddipet",ENT,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1110,694(1),796(1),1203(1),1203(1),1203(1),1203(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Kamineni (KAMSRC), Hyderabad",GENERAL MEDICINE,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",650,1012(2),1215(2),1215(2),1215(2),1215(2),1215(2),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mahavir Inst of MS, Vikarabad",PATHOLOGY,"₹5,30,000*",Info not available*,1*,"₹20,00,000*",700,1092(1),1224(1),1224(1),1224(1),1224(1),1224(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2-MSM,Telangana,"Shadan IMSRC, Peerancheru",OPHTHALMOLOGY,"₹72,00,000*",Info not available*,1*,"₹20,00,000*",800,1111(1),1247(1),1247(1),1247(1),1247(1),1247(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"MNR Med Coll, Sangareddy",PSYCHIATRY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",760,873(1),1166(1),1259(1),1259(1),1259(1),1259(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Malla Reddy(Women), Hyderabad",RADIO DIAGNOSIS,-,-,-,-,1050,805(1),1261(1),1261(1),1261(1),1261(1),1261(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Malla Reddy(Women), Hyderabad",GENERAL MEDICINE,-,-,-,-,1050,1057(1),1283(1),1283(1),1283(1),1283(1),1283(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Bhaskar Med Coll, Yenkapally",PAEDIATRICS,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",850,1146(1),1285(1),1285(1),1285(1),1285(1),1285(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"SVS Med Coll, Mehboobnagar",PSYCHIATRY,"₹72,00,000*",Info not available*,1*,"₹20,00,000*",760,-,-,-,-,-,1298(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"RVM IMSRC, Siddipet",ORTHOPAEDICS,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",1110,-,-,-,-,-,1306(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"RVM IMSRC, Siddipet",ANATOMY,"₹5,10,000*",Info not available*,1*,"₹20,00,000*",1110,-,-,-,-,-,1314(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"Apollo IMSR, Hyderabad",ANAESTHESIOLOGY,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",570,-,-,-,-,-,1317(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"SVS Med Coll, Mehboobnagar",OPHTHALMOLOGY,"₹72,00,000*",Info not available*,1*,"₹20,00,000*",760,1191(1),1332(1),1332(1),1332(1),1332(1),1332(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Malla Reddy(Women), Hyderabad",OBG,-,-,-,-,1050,938(1),1340(1),1340(1),1340(1),1340(1),1340(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"RVM IMSRC, Siddipet",PSYCHIATRY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1110,885(1),1124(1),1341(1),1341(1),1341(1),1341(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"DCMS, Hyderabad",RADIO DIAGNOSIS,"₹72,00,000*",Info not available*,1*,"₹20,00,000*",1400,-,-,-,-,-,1349(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Malla Reddy IMS, Hyderabad",PAEDIATRICS,-,-,-,-,940,735(2),1384(2),1384(2),1384(2),1384(2),1384(2),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Prathima IMS, Karimnagar",TBRD,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",1060,1234(1),1388(1),1388(1),1388(1),1388(1),1388(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Malla Reddy IMS, Hyderabad",ORTHOPAEDICS,-,-,-,-,940,1239(1),1394(1),1394(1),1394(1),1394(1),1394(1),-,-,-,-,-,-
