Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
HP Govt Quota,ST-GDO,Himachal Pradesh,"RPG, Tanda",RADIO DIAGNOSIS,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,-,-,-,359(1),-,-,-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"RPG, Tanda",OPHTHALMOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,36(1),64(1),-,-,-,299(1),370(1),-,-,-
HP Priv All,GEN,Himachal Pradesh,"MMU, Solan",DERMATOLOGY,"₹31,87,800*","₹40,000",1,"₹10,00,000",720,-,435(1),-,-,-,195(1),387(1),-,-,-
HP Govt Quota,SC-GDO,Himachal Pradesh,"IGMC, Shimla",GENERAL MEDICINE,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,69(1),128(1),-,-,-,416(1),-,-,-,-
HP Govt Quota,SC-GDO,Himachal Pradesh,"RPG, Tanda",ENT,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,-,-,-,420(1),-,-,-,-
HP Govt Quota,SC,Himachal Pradesh,"IGMC, Shimla",TBRD,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,-,-,-,167(1),428(1),-,-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"RPG, Tanda",GENERAL SURGERY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,41(2),95(2),-,-,-,454(2),-,-,-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"RPG, Tanda",OBG,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,63(6),112(5),-,-,-,405(3),455(2),-,-,-
HP Private-StateQuota,GEN,Himachal Pradesh,"MMU, Solan",GENERAL MEDICINE,"₹28,99,600*","₹40,000",1,"₹10,00,000",720,-,-,-,-,-,145(1),463(1),-,-,-
HP Govt Quota,ST-GDO,Himachal Pradesh,"IGMC, Shimla",GENERAL SURGERY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,148(1),-,-,-,464(1),-,-,-,-
HP Private-StateQuota,GEN,Himachal Pradesh,"MMU, Solan",DERMATOLOGY,"₹31,87,800*","₹40,000",1,"₹10,00,000",720,174(1),569(1),-,-,-,468(1),-,-,-,-
HP Govt Quota,ST-GDO,Himachal Pradesh,"RPG, Tanda",OBG,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,-,-,-,475(1),-,-,-,-
