Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",ORTHOPAEDICS,"₹9,93,600*","₹27,000*",1*,Info not available*,790,738(2),2800(2),2968(2),-,-,-,-,1207(1),1001(1),1017(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Maharajah IMS, Vizianagaram",PAEDIATRICS,"₹9,93,600*",Info not available*,1*,Info not available*,850,324(2),1251(2),-,-,-,-,-,343(1),404(1),1032(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"NRI Inst of Med Sci, Vizag",OPHTHALMOLOGY,"₹9,93,600*","₹40,000*",1*,Info not available*,980,858(1),2155(1),-,-,-,-,-,1017(1),1017(1),1033(1),-
APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Alluri Sitaram Raju, Eluru",GENERAL SURGERY,"₹9,93,600*","₹30,000*",1*,Info not available*,1200,262(1),1069(1),-,-,-,-,-,142(1),398(1),1055(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"VMC, Kurnool",OBG,"₹9,93,600*","₹30,000*",1*,Info not available*,650,348(1),1558(1),1646(1),-,-,-,-,399(1),496(1),1056(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Alluri Sitaram Raju, Eluru",OBG,"₹9,93,600*","₹30,000*",1*,Info not available*,1200,304(3),1116(3),-,-,-,-,-,365(3),434(3),1061(3),146(1)
APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"GSL Med Coll, Rajahmundry",GENERAL SURGERY,"₹9,93,600*","₹30,000*",1*,Info not available*,1140,311(1),1167(1),-,-,-,-,-,276(1),428(1),1066(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"GSL Med Coll, Rajahmundry",OBG,"₹9,93,600*","₹30,000*",1*,Info not available*,1140,308(3),1220(3),-,-,-,-,-,354(3),471(3),1068(3),-
APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Fathima IMS,Kadapa",DERMATOLOGY,"₹9,93,600*","₹25,000*",1*,Info not available*,750,102(1),1538(1),-,-,-,-,-,388(1),298(1),1095(1),-
APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Nimra Inst of Med Sci, Krishna",GENERAL MEDICINE,"₹9,93,600*",Info not available*,1*,Info not available*,-,615(1),642(1),-,-,-,-,-,329(1),329(1),1106(1),-
