Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
Assam Govt Quota,OBC/MOBC,Assam,"Tezpur Med Coll, Tezpur",ORTHOPAEDICS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",500,-,-,-,-,-,-,265(1),265(1),265(1),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Silchar Med Coll, Silchar",GENERAL MEDICINE,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1256,114(1),114(1),114(1),-,-,-,121(2),266(2),266(2),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Assam Med Coll, Dibrugarh",PAEDIATRICS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,142(1),142(1),142(1),-,-,-,223(1),300(2),269(2),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Tezpur Med Coll, Tezpur",OBG,"₹17,900*","₹55,200*",2*,"₹20,00,000*",500,-,-,-,-,-,-,270(1),270(1),270(1),-,-
Assam Govt Quota,EWS,Assam,"Silchar Med Coll, Silchar",GENERAL SURGERY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1256,226(1),236(1),286(1),-,-,-,201(1),274(1),274(1),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Fakhruddin Ali Ahmed, Barpeta",OBG,"₹17,900*","₹55,200*",2*,"₹20,00,000*",470,188(1),188(1),188(1),-,-,-,278(1),278(1),278(1),-,-
Assam Govt Quota,UR,Assam,"Gauhati Med Coll, Guwahati",PSYCHIATRY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,137(1),140(1),140(1),-,-,-,116(1),224(2),281(2),-,-
Assam Govt Quota,EWS,Assam,"Tezpur Med Coll, Tezpur",ANAESTHESIOLOGY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",500,301(1),328(1),338(1),-,-,-,282(1),282(1),282(1),-,-
Assam Govt Quota,UR,Assam,"Tezpur Med Coll, Tezpur",GENERAL SURGERY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",500,254(2),268(2),268(2),-,-,-,189(2),256(2),288(2),-,-
Assam Govt Quota,EWS,Assam,"Tezpur Med Coll, Tezpur",ORTHOPAEDICS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",500,210(1),238(1),238(1),-,-,-,-,291(1),291(1),-,-
Assam Govt Quota,EWS,Assam,"Assam Med Coll, Dibrugarh",ORTHOPAEDICS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,206(1),220(1),248(1),-,-,-,249(1),260(1),292(1),-,-
Assam Govt Quota,UR,Assam,"Silchar Med Coll, Silchar",GENERAL SURGERY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1256,224(5),224(5),253(5),-,-,-,173(3),243(4),293(4),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Jorhat Med Coll, Jorhat",ORTHOPAEDICS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",814,177(1),177(1),257(1),-,-,-,196(1),294(1),294(1),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Gauhati Med Coll, Guwahati",GENERAL SURGERY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,212(1),254(1),254(1),-,-,-,151(1),295(2),295(3),-,-
Assam Govt Quota,UR,Assam,"Gauhati Med Coll, Guwahati",ANAESTHESIOLOGY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,199(4),199(4),199(4),337(1),423(1),-,130(3),298(4),298(4),-,-
Assam Govt Quota,UR,Assam,"Tezpur Med Coll, Tezpur",ENT,"₹17,900*","₹55,200*",2*,"₹20,00,000*",500,-,-,-,-,-,-,199(1),299(1),299(1),-,-
Assam Govt Quota,UR,Assam,"Assam Med Coll, Dibrugarh",ENT,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,220(2),296(2),363(2),-,-,-,192(1),-,303(1),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Jorhat Med Coll, Jorhat",GENERAL SURGERY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",814,267(1),267(1),304(1),-,-,-,277(1),305(1),305(1),-,-
Assam Govt Quota,UR,Assam,"Gauhati Med Coll, Guwahati",OPHTHALMOLOGY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,184(2),184(2),207(2),352(1),-,477(1),169(2),273(2),307(2),-,-
