Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6
JK Govt Quota,SC,Jammu and Kashmir,"Govt Med Coll, Srinagar",ANAESTHESIOLOGY,"₹35,750*","₹59,500",0*,₹0*,2150,860(4),536(1),-,-,947(4),978(2),1095(4),-,-,-
JK Govt Quota,ST-I,Jammu and Kashmir,"Gove Med Coll, Jammu",IHBT,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,992(1),-,1106(1),-,-,-
JK Govt Quota,ST-II,Jammu and Kashmir,"Gove Med Coll, Jammu",PATHOLOGY,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,1042(2),1017(1),1118(1),-,-,-
JK Priv-Hindu Min.,HM,Jammu and Kashmir,"ASCOMS, Jammu",PATHOLOGY,"₹12,15,000*","₹45,560",0,₹0,507,-,-,983(1),-,-,-,1126(1),-,-,-
JK Govt Quota,STK,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",ORTHOPAEDICS,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,-,-,-,-,490(1),793(1),1139(1),-,-,-
JK Govt Quota,ST-I,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",PATHOLOGY,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,-,-,-,-,1049(2),-,1153(2),-,-,-
JK Priv-Govt Quota,OM,Jammu and Kashmir,"ASCOMS, Jammu",BIOCHEMISTRY,"₹12,15,000*","₹45,560",0,₹0,507,-,-,-,-,61(1),-,1164(1),-,-,-
JK Priv-Govt Quota,OM,Jammu and Kashmir,"ASCOMS, Jammu",MICROBIOLOGY,"₹12,15,000*","₹45,560",0,₹0,507,814(2),-,-,-,786(2),-,1175(2),1171(1),-,-
JK Govt Quota,SC,Jammu and Kashmir,"Gove Med Coll, Jammu",PATHOLOGY,"₹25,000*","₹59,500",0*,₹0*,1700,897(1),-,-,-,1071(3),-,1178(1),-,-,-
JK Govt Quota,SC,Jammu and Kashmir,"Gove Med Coll, Jammu",IHBT,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,1076(1),-,1187(1),-,-,-
JK Priv-Hindu Min.,HM,Jammu and Kashmir,"ASCOMS, Jammu",MICROBIOLOGY,"₹12,15,000*","₹45,560",0,₹0,507,-,-,-,-,-,-,1198(1),-,-,-
JK Govt Quota,STL,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",ANAESTHESIOLOGY,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,-,-,-,-,701(1),882(1),1204(1),-,-,-
JK Govt Quota,CDP,Jammu and Kashmir,"Gove Med Coll, Jammu",RADIO DIAGNOSIS,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,10(1),-,-,-,-,-
JK Govt Quota,JKPM,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",PAEDIATRICS,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,-,-,-,-,46(1),-,-,-,-,-
JK Govt Quota,JKPM,Jammu and Kashmir,"Govt Med Coll, Srinagar",DERMATOLOGY,"₹35,750*","₹59,500",0*,₹0*,2150,-,-,-,-,-,46(1),-,-,-,-
