Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6,CR 2024 7
Tel Govt-NS LOC,BCD-FEM,Telangana,"Osmania Med Coll, Hyderabad",PAEDIATRICS,"₹25,000*","₹58,289",1,"₹20,00,000",4800,236(1),358(1),358(1),358(1),358(1),358(1),169(1),188(1),188(1),188(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"ESIC Med Coll,Sanath Nagar",GENERAL SURGERY,"₹2,50,000*","₹1,26,927*",2*,"₹10,00,000*",690,423(1),571(1),633(1),633(1),633(1),633(1),179(1),179(1),189(1),189(1),-,-,-
Tel Govt-NS LOC,BCC-GEN,Telangana,"Govt Med Coll, Nizamabad",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",500,-,-,-,-,-,-,191(1),191(1),191(1),191(1),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"ESIC Med Coll,Sanath Nagar",GENERAL SURGERY,"₹2,50,000*","₹1,26,927*",2*,"₹10,00,000*",690,-,-,-,-,-,-,192(1),192(1),192(1),192(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Osmania Med Coll, Hyderabad",GENERAL SURGERY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,369(2),385(2),385(2),385(2),385(2),385(2),193(1),193(1),193(1),193(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Kakatiya Med Coll, Warangal",GENERAL SURGERY,"₹25,000*","₹58,289",1,"₹20,00,000",1150,-,-,-,-,-,-,197(1),197(1),197(1),197(1),-,-,-
Tel Govt-NS LOC,ST-FEM,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,"₹72,000*","₹1,11,780",1,"₹50,00,000",1498,-,-,-,-,-,-,198(1),198(1),198(1),198(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"Apollo IMSR, Hyderabad",RADIO DIAGNOSIS,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",570,-,-,-,-,-,-,200(1),200(1),200(1),200(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Gandhi Med Coll, Secunderabad",OBG,"₹25,000*","₹58,289",1,"₹20,00,000",1200,300(2),300(2),300(2),300(2),300(2),300(2),145(3),145(3),204(3),204(3),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Mamata AcadofMedSci,Bachupally",GENERAL MEDICINE,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",-,-,-,-,-,-,-,-,-,206(1),206(1),-,-,-
