Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
UK-Govt Quota,OBC-WOMEN,Uttarakhand,"Doon Med Coll, Dehradun",ENT,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",436,-,-,-,-,-,263(1),263(1),727(1),-,-
UK Priv-Govt Quota,UR-OPEN,Uttarakhand,"SGRRI, Dehradun",TBRD,"₹25,75,000*","₹59,065",1,"₹10,00,000",750,-,-,-,-,-,-,-,746(1),-,-
UK-Govt Quota,UR-OPEN,Uttarakhand,"Doon Med Coll, Dehradun",SPM,"₹1,00,000*","₹71,257*",0*,₹0*,436,-,-,179(1),-,-,575(1),854(1),757(1),-,-
UK Priv-Govt Quota,UR-WOMEN,Uttarakhand,"SGRRI, Dehradun",PAEDIATRICS,"₹28,00,000*","₹59,065",1,"₹10,00,000",750,404(1),384(1),151(1),-,-,746(1),746(1),771(1),-,-
UK-Govt Quota,SC-OPEN,Uttarakhand,"Govt Med Coll, Haldwani",ANAESTHESIOLOGY,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",600,120(1),104(1),68(1),-,-,399(1),598(1),772(1),-,-
UK-Govt Quota,SC-OPEN,Uttarakhand,"VCSG Med Coll, Pauri Garhwal",PATHOLOGY,"₹60,000*","₹76,600*",2*,"₹2,50,00,000*",Info Not Available,-,-,-,-,-,763(1),755(1),788(1),-,-
UK-Govt Quota,UR-WOMEN,Uttarakhand,"VCSG Med Coll, Pauri Garhwal",PATHOLOGY,"₹60,000*","₹76,600*",2*,"₹2,50,00,000*",Info Not Available,156(1),327(1),140(1),156(1),33(1),526(1),526(1),791(1),-,-
UK Priv-Govt Quota,UR-WOMEN,Uttarakhand,"HIMS, Dehradun",ANAESTHESIOLOGY,"₹17,00,000*","₹40,000",1,"₹10,00,000",1200,-,-,-,-,-,788(1),788(1),813(1),-,-
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",OPHTHALMOLOGY,"₹26,00,000*","₹40,000",1,"₹2,50,00,000",1200,208(2),422(2),97(1),-,-,428(3),791(3),816(2),1075(1),-
UK DNB Serv,SC-OPEN,Uttarakhand,"VCSG MedCollHosp,PauriGarhwal",DNBGENERAL MEDICINE,"₹1,25,000","₹76,600",2*,"₹2,50,00,000*",774,-,-,-,-,-,147(1),793(1),818(1),-,-
