Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
Bihar Govt Quota,BC-GEN,Bihar,"AN Magadh, Gaya",OBG,"₹9,000*","₹82,000",3*,"₹25,00,000*",425,273(1),273(1),292(1),-,-,231(1),242(1),159(1),385(1),-
Bihar Govt Quota,EBC-GEN,Bihar,"Govt Med Coll, Bettiah",OBG,"₹9,000*","₹82,000",3*,"₹25,00,000*",470,285(1),285(1),322(1),-,-,268(1),268(1),161(1),-,-
Bihar Govt Quota,EBC-GEN,Bihar,"Darbhanga, Lehriasarai",GENERAL SURGERY,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,188(1),201(1),371(1),-,-,226(1),226(1),163(1),274(1),-
Bihar Govt Quota,BC-GEN,Bihar,"Jawaharlal Nehru, Bhagalpur",ORTHOPAEDICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",800,-,-,-,-,-,187(1),187(1),165(1),277(1),-
Bihar Govt Quota,UR-GEN,Bihar,"IGIMS, Patna",OPHTHALMOLOGY,"₹1,60,000*","₹1,05,000*",0,₹0,1062,255(1),255(1),328(1),-,-,198(1),282(1),169(1),-,-
Bihar Govt Quota,EWS-GEN,Bihar,"Darbhanga, Lehriasarai",ORTHOPAEDICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,126(1),167(1),354(1),-,-,209(1),209(1),171(1),-,-
Bihar Govt Quota,EWS-GEN,Bihar,"Nalanda Med Coll, Patna",GENERAL SURGERY,"₹9,000*","₹82,000",3*,"₹25,00,000*",750,196(1),196(1),188(1),-,-,222(1),222(1),173(1),380(1),-
Bihar Govt Quota,UR-FEM,Bihar,"Patna Med Coll, Patna",OPHTHALMOLOGY,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,-,-,-,-,-,282(1),288(1),174(1),-,-
Bihar Govt Quota,UR-GEN,Bihar,"Jawaharlal Nehru, Bhagalpur",GENERAL SURGERY,"₹9,000*","₹82,000",3*,"₹25,00,000*",800,190(2),214(2),266(1),16(1),-,213(2),213(2),176(2),296(2),-
Bihar Govt Quota,UR-FEM,Bihar,"Patna Med Coll, Patna",DMRD,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,152(1),152(1),-,-,-,263(1),-,177(1),91(1),-
Bihar Govt Quota,UR-FEM,Bihar,"IGIMS, Patna",TBRD,"₹1,60,000*","₹1,05,000*",0,₹0,1062,98(1),227(1),-,-,-,52(1),224(1),183(1),294(1),-
Bihar Govt Quota,EWS-GEN,Bihar,"Jawaharlal Nehru, Bhagalpur",TBRD,"₹9,000*","₹82,000",3*,"₹25,00,000*",800,205(1),231(1),-,-,-,285(1),285(1),185(1),309(1),-
Bihar Govt Quota,BC-FEM,Bihar,"Patna Med Coll, Patna",OPHTHALMOLOGY,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,338(1),338(1),-,-,-,307(1),307(1),186(1),-,-
Bihar Govt Quota,EWS-GEN,Bihar,"IGIMS, Patna",GENERAL SURGERY,"₹1,60,000*","₹1,05,000*",0,₹0,1062,-,-,-,-,-,235(1),235(1),187(1),312(1),-
Bihar Govt Quota,EBC-GEN,Bihar,"IGIMS, Patna",GENERAL SURGERY,"₹1,60,000*","₹1,05,000*",0,₹0,1062,145(1),-,-,-,-,220(1),249(1),189(1),314(1),-
Bihar Govt Quota,EWS-FEM,Bihar,"Darbhanga, Lehriasarai",GENERAL SURGERY,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,228(1),267(1),400(1),-,-,312(1),312(1),191(1),444(1),5(1)
Bihar Govt Quota,UR-FEM,Bihar,"Darbhanga, Lehriasarai",GENERAL SURGERY,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,146(1),146(1),323(1),-,-,199(1),286(1),195(1),-,-
Bihar Govt Quota,BC-GEN,Bihar,"IGIMS, Patna",ANAESTHESIOLOGY,"₹1,60,000*","₹1,05,000*",0,₹0,1062,302(1),302(1),293(1),-,-,319(1),319(1),198(1),-,-
Bihar Govt Quota,UR-GEN,Bihar,"Sri Krishna, Muzzafarpur",GENERAL SURGERY,"₹9,000*","₹82,000",3*,"₹25,00,000*",610,191(1),191(1),280(1),-,-,243(1),248(1),200(1),326(1),-
Bihar Govt Quota,UR-GEN,Bihar,"AN Magadh, Gaya",GENERAL SURGERY,"₹9,000*","₹82,000",3*,"₹25,00,000*",425,201(1),219(1),269(1),-,-,234(1),234(1),201(1),-,-
Bihar Govt Quota,EBC-FEM,Bihar,"Jawaharlal Nehru, Bhagalpur",PAEDIATRICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",800,307(1),307(1),335(1),-,-,221(1),221(1),202(1),398(1),-
Bihar Govt Quota,UR-FEM,Bihar,"Darbhanga, Lehriasarai",TBRD,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,-,-,-,-,-,241(1),241(1),209(1),337(1),-
Bihar Govt Quota,UR-GEN,Bihar,"IGIMS, Patna",RADIATION ONCOLOGY,"₹1,60,000*","₹1,05,000*",0,₹0,1062,-,-,-,-,-,112(1),255(1),210(1),-,-
Bihar DNB Seats,UR-GEN,Bihar,"SriKrishna MedColl,Muzaffarpur",DNBPAEDIATRICS,"₹1,25,000","₹82,000",Info Not Available,Info not available,610,245(1),245(1),281(1),-,-,338(1),338(1),214(1),-,-
Bihar Govt Quota,BC-FEM,Bihar,"Darbhanga, Lehriasarai",GENERAL SURGERY,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,281(1),281(1),-,-,-,275(1),351(1),223(1),-,-
Bihar Govt Quota,BC-GEN,Bihar,"Patna Med Coll, Patna",OPHTHALMOLOGY,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,-,-,-,-,-,292(1),292(1),238(1),658(1),-
Bihar DNB Seats,BC-GEN,Bihar,"SriKrishna MedColl,Muzaffarpur",DNBPAEDIATRICS,"₹1,25,000","₹82,000",Info Not Available,Info not available,610,275(1),275(1),267(1),-,-,380(1),380(1),242(1),412(1),-
Bihar Govt Quota,UR-FEM,Bihar,"Jawaharlal Nehru, Bhagalpur",ORTHOPAEDICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",800,-,-,-,-,-,-,387(1),246(1),-,-
