Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
UP-Govt Quota,UR,Uttar Pradesh,"LLRM Med Coll, Meerut",DERMATOLOGY,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",1090,61(2),85(2),7(1),-,-,21(1),64(1),66(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"District Comb Hosp,Sec 39,Noida",DGO(NBEMS),"₹1,25,000","₹70,000*",0*,₹0*,240,-,-,-,-,-,64(1),64(1),67(1),-,-
UP-Govt Quota,BC,Uttar Pradesh,"KGMU, Lucknow",GENERAL MEDICINE,"₹54,700*","₹1,09,955",2*,"₹40,00,000*",4500,46(4),47(4),-,3(1),-,56(4),71(4),67(4),-,838(1)
UP-DNB InS,UR Service,Uttar Pradesh,"Government Med Col, Azamgarh,UP",DCH(NBEMS),"₹1,25,000","₹80,000*",0*,₹0*,550,-,-,-,-,-,65(1),65(1),68(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"Autonomous State MC, Firozabad",DA(NBEMS),"₹1,25,000","₹80,000*",0*,₹0*,244,47(1),-,-,-,-,66(1),66(1),69(1),-,-
UP-DNB InS,SC Service,Uttar Pradesh,"ShyamaPrasad (Civil), Lucknow",DNBORTHOPAEDICS,"₹1,25,000","₹70,000",0*,₹0*,401,-,-,-,-,-,56(1),56(1),70(1),-,-
UP-DNB InS,SC Service,Uttar Pradesh,"Divisional Dist Hosp, Azamgarh",DNBGENERAL MEDICINE,"₹1,25,000","₹70,000",0*,₹0*,312,-,-,-,-,-,62(1),67(1),71(1),156(1),-
UP-DNB InS,UR Service,Uttar Pradesh,"Govt Med Coll, Kannauj, UP",DCH(NBEMS),"₹1,25,000","₹80,000*",0*,₹0*,470,36(1),84(1),-,-,-,69(1),69(1),72(1),-,-
UP-Govt Quota,UR,Uttar Pradesh,"GSVM Med Coll, Kanpur",GENERAL MEDICINE,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",2083,52(4),58(4),4(1),-,-,50(5),66(5),72(5),409(2),-
UP-DNB InS,BC Service,Uttar Pradesh,"MaharanaPratapDistHos,Bareilly",DNBGENERAL SURGERY,"₹1,25,000","₹70,000",0*,₹0*,325,-,-,-,-,-,29(1),29(1),73(1),125(1),-
UP-DNB InS,SC Service,Uttar Pradesh,"PL Sharma Dist Hosp, Meerut",DNBGENERAL MEDICINE,"₹1,25,000","₹70,000",0*,₹0*,250,-,-,-,-,-,24(1),24(1),74(1),104(1),-
UP-DNB InS,BC Service,Uttar Pradesh,"Government Med Coll, Badaun",DCH(NBEMS),"₹1,25,000","₹80,000*",0*,₹0*,234,68(1),85(1),-,-,-,71(1),71(1),75(1),-,-
UP-Govt Quota,SC,Uttar Pradesh,"SGPGI, Lucknow",RADIO DIAGNOSIS,"₹61,600*","₹1,11,780",2*,"₹40,00,000*",1609,197(1),198(1),-,-,-,76(1),76(1),78(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"Pandit DDUDivDistHosp,Moradabad",DCH(NBEMS),"₹1,25,000","₹70,000",0*,₹0*,-,-,-,-,-,-,78(1),35(1),78(1),155(1),-
